r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
wrongs,"If I meet with railing Tongues,",o5454-l04010, Since I best revenge my Wrongs,o5454-l04020,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o5454-w0390
songs, And Praise sits silent on our Tongues. ,o4672-l07445," A Sacred Reverence checks our Songs,",o4672-l07440,/ʌŋz/ | /ɒŋz/,half-pararhyme,aa<b>b</b><b>b</b>,pers00292,o4672-w0370
lungs,"With Satire that supplies our Tongues,",o5125-l09970, And greatly helps the failing Lungs. ,o5125-l09975,/ʌŋz/ | /ʌŋz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0280
lungs," The Doctor's Wormwood Style, the Hash of Tongues,",o3683-l00190," A Pedant makes; the Storm of G—s—n's Lungs,",o3683-l00195,/ʌŋz/ | /ʌŋz/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
wrongs, All the terrors of our tongues. ,o3794-l33615," Weep upon thy matchless wrongs,",o3794-l33605,/ʌŋz/ | /ɒŋz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00269,o3794-w0400
lungs,"Had I a thousand mouths, a thousand tongues,",o5154-l08570,"A throat of brass, and adamantine lungs,",o5154-l08575,/ʌŋz/ | /ʌŋz/,full,<b>a</b><b>a</b>,pers00017,o5154-w0130
songs," Shall curb the Malice of unbridled Tongues,",sap09-l01090, And with due Praise reward thy rural Songs. ,sap09-l01095,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b><b>a</b>,pers00302,sap09-w0020
wrongs," But Fame (quoth he) with all her Tongues,",o4784-l00055," Who Lawyers, Ladies, Soldiers wrongs,",o4784-l00060,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0010
prolongs, The dulcet tumult of their silver tongues. —,o4671-l07120, And Echo's sweet responsive voice prolongs,o4671-l07115,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b><b>a</b>,pers00337,o4671-w0010
songs," Thus while our Devotions are paid with our Tongues,",o4672-l03490,"We enter his Gates with Hosannahs and Songs,",o4672-l03480,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0170
lungs, That all your neighbours too have tongues;,ojg27-l06470,"Think, madam, when you stretch your lungs,",ojg27-l06465,/ʌŋz/ | /ʌŋz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0260
throngs," Roll'd their red eyes, and shot their forked tongues. —",o4671-l19345," Then darting fierce amid the affrighted throngs,",o4671-l19340,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b><b>a</b>,pers00337,o4671-w0020
wrongs,"And, Liberty, thy thousand tongues",o5152-l15680,"None silence, who design no wrongs;",o5152-l15685,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b><b>a</b>,pers00101,o5152-w0180
songs," Almighty God, our Joyful Tongues",o4672-l03870,"Enter his Gates with Thankful Songs,",o4672-l03860,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0200
throngs," With loud Hosannahs on their Tongues,",o4672-l04835,Around the flaming Army throngs,o4672-l04825,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0240
songs, And the Sound of his Name from a Million of Tongues,o4672-l02630,Amongst a full Choir of Archangels and Songs,o4672-l02620,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0130
lungs," Sighs, Sobs, and Passions, and the War of Tongues. ",o3695-l02770," There she collects the Force of Female Lungs,",o3695-l02765,/ʌŋz/ | /ʌŋz/,full,<b>a</b><b>a</b>,pers00012,o3695-w0010
lungs,And SLANDER with her hundred tongues.,o5154-l29085,"CONTENTION bold, with iron lungs,",o5154-l29080,/ʌŋz/ | /ʌŋz/,full,<b>a</b><b>a</b>,pers00141,o5154-w0550
lungs, And find they've Breath to serve a thousand Tongues. ,o4784-l19205,"The Servants too experiment her Lungs,",o4784-l19200,/ʌŋz/ | /ʌŋz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0610
prongs,"Ah! were their Hands so active as their Tongues,",o4741-l01765, How nimbly then would move the Rakes and Prongs? ,o4741-l01770,/ʌŋz/ | /ɒŋz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0030
lungs," I envy not their gift of tongues,",pjo50-l11460,"Let other Maids, of happier lungs,",pjo50-l11450,/ʌŋz/ | /ʌŋz/,full,<b>a</b>b<b>a</b>b,pers00273,pjo50-w0450
