r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fool,"Of ductile piety, becomes their tool:",o5154-l09400,Behold how each enthusiastic fool,o5154-l09395,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
fool," Is in all Points the fittest Tool,",psw11-l00140, If he be Wealthy and a Fool,psw11-l00135,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00148,psw11-w0010
fool, Addrest her as a taylor's tool. ,ojg27-l04230,She knew the name. And thus the fool,ojg27-l04225,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0170
fool,"'Tis in the ablest hand a dang'rous tool,",o5152-l38990,But never fails to wound the medling fool:,o5152-l38995,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
fool," Nor Lucre's Madman, nor Ambition's Tool,",o3674-l01630,"Not Fortune's Worshipper, nor Fashion's Fool,",o3674-l01625,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
rule," To think that I will prove a Statesman's tool,",o3588-l01235, And live a stranger where I ought to rule? ,o3588-l01240,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
soul,His nobler wit becomes the tool,o5155-l35545,"So loose, so prostitute of soul,",o5155-l35540,/uːl/ | /əʊl/,half-pararhyme,<b>a</b><b>a</b>a,pers00062,o5155-w0820
fool,His nobler wit becomes the tool,o5155-l35545,Of every importuning fool:,o5155-l35550,/uːl/ | /uːl/,full,a<b>a</b><b>a</b>,pers00062,o5155-w0820
school," Sometimes he ply'd the strong mechanic Tool,",o3818-l04030," And oft he put himself to Neptune's School,",o3818-l04040,/uːl/ | /uːl/,full,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
pool," Sometimes he ply'd the strong mechanic Tool,",o3818-l04030, Fighting with Winds and Waves on the vext Ocean Pool. ,o3818-l04045,/uːl/ | /uːl/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
rule,The lord of nations falls a party's tool.,o5153-l25520,"While with false lights directing partial rule,",o5153-l25515,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00119,o5153-w0430
fool," Who, cursing flatt'ry, is the tool",o3552-l05335, Of ev'ry fawning flatt'ring fool;,o3552-l05340,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
rule," Who saw his weakness, made their King their tool,",o3589-l02285," Then most a slave, when most he seem'd to rule;",o3589-l02290,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
misrule, Deaf'ning the ear of Peace: fierce Faction's tool;,o4179-l00135," Of rash Sedition born, and mad Misrule;",o4179-l00140,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00274,o4179-w0010
fool,""" She makes of Victory a pliant tool,",o4267-l00190,""" Reward of coward — knave, or valiant fool. ",o4267-l00200,/uːl/ | /uːl/,full,a<b>b</b>a<b>b</b>,pers00331,o4267-w0010
