r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
crop," But on high Grampia's fleecy top,",o4739-l00135," Where kids, the gelid herbage crop,",o4739-l00140,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00284,o4739-w0020
drop," And rising Heaps improve the Mountain's Top,",pdi22-l08990,"Thus, when the Clouds their snowy Burden drop,",pdi22-l08985,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
crop,"Now the pine-tree's waving top,",o5089-l36950," Kidlings, now, begin to crop",o5089-l36960,/ɒp/ | /ɒp/,full,<b>a</b>b<b>a</b>b,pers00168,o5089-w0800
stop, And turn their blossoms to the casement's top:,pcr18-l08905," Projecting thatch the woodbine's branches stop,",pcr18-l08900,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
drop," And steeper be their Fall, as next the Top;",o4784-l18140," Whilst your high Brood must with the meanest drop,",o4784-l18135,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00268,o4784-w0570
drop," 'Twas still replenished to the Top,",psw11-l01500," As if they ne'er had toucht a Drop,",psw11-l01505,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
fop," Beneath, beside me, and a top,",o3665-l00235, A hundred Sons! and not one Fop. ,o3665-l00240,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
pope, Few ever then got near its top:,bjl92-l06845," Except that little fellow Pope,",bjl92-l06840,/ɒp/ | /əʊp/,half-pararhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0260
crop," Moist each Fibre, and each Top,",o4784-l03435," Wearing a luxurious Crop,",o4784-l03440,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
hope," ""Thou distant tree, whose lonely top",bjb18-l03020, No more canst thou deceive my hope,bjb18-l03030,/ɒp/ | /əʊp/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0030
crop," So stooping down from hawthorn top,",o3794-l31445, He thought to put him in his crop;,o3794-l31450,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00269,o3794-w0250
pope,"You've been upon Parnassus' top,",bjl92-l12490, More high than Alexander Pope;,bjl92-l12495,/ɒp/ | /əʊp/,half-pararhyme,<b>a</b><b>a</b>abab,pers00338,bjl92-w0520
grope,"You've been upon Parnassus' top,",bjl92-l12490, And wild Arabia's plains you grope,bjl92-l12500,/ɒp/ | /əʊp/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00338,bjl92-w0520
drop,"You've been upon Parnassus' top,",bjl92-l12490," That useful knowledge you may drop,",bjl92-l12510,/ɒp/ | /ɒp/,full,<b>a</b>aab<b>a</b>b,pers00338,bjl92-w0520
drop," High Athos, Oete, and the Pin'y top",oar96-l04995, Of pleasant Ida into Cinders drop:,oar96-l05000,/ɒp/ | /ɒp/,full,<b>a</b><b>a</b>,pers00265,oar96-w0200
crop,Now the pine-tree's waving top,o4986-l33675, And the new-wak'd kidlings crop,o4986-l33685,/ɒp/ | /ɒp/,full,<b>a</b>b<b>a</b>b,pers00168,o4986-w0920
drop,"But when near the mountain top,",pma99-l02300," Down the beauteous pile would drop,",pma99-l02310,/ɒp/ | /ɒp/,full,<b>a</b>b<b>a</b>b,pers00306,pma99-w0100
hope," To trembling Moriam's melancholy Top,",pmp18-l50075," Must take his other Child, his Age's Hope",pmp18-l50070,/ɒp/ | /əʊp/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
