r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
power, And hurls defiance even from the Tower;,o4986-l18695," Wrapt in himself, he scorns the tyrant's power,",o4986-l18690,/aʊə/ | /aʊə/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
bower,"Like swallow wheeling round her tower,",bjb18-l11650," Sinsyne I hover near her bower,",bjb18-l11660,/aʊə/ | /aʊə/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0210
power,"She now ascends a lofty tower,",pcm93-l07080," Far as the eye extends its power,",pcm93-l07090,/aʊə/ | /aʊə/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0080
bower,Save that from yonder ivy-mantled tow'r,o5155-l00045,"Of such, as wand'ring near her secret bow'r,",o5155-l00055,/aʊə/ | /aʊə/,full,<b>a</b>b<b>a</b>b,pers00039,o5155-w0010
hour,Save when with brazen tongue from yon high tow'r,o5156-l27535,"The clock deep-sounding speaks, and counts the passing hour.",o5156-l27540,/aʊə/ | /æə/,half-pararhyme,ababcdcd<b>e</b><b>e</b>,pers00050,o5156-w0780
yore,"But can we then that ruined, reverend tower,",o4986-l27305, There many a hoary devotee of yore,o4986-l27315,/aʊə/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00196,o4986-w0580
flower, The low gliding stream as the high gilded tower:,bsb18-l06320," And scatters her sweets on each innocent flower,",bsb18-l06310,/aʊə/ | /æə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0030
hour," The shrieking owl from you disparted tower,",o4985-l13730,"On Darkness' wing now sails the midnight hour,",o4985-l13720,/aʊə/ | /æə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00176,o4985-w0220
power,"Not distant far, her gold encircled tower",o4985-l13800," On whose dread altar breath'd some hidden power,",o4985-l13810,/aʊə/ | /aʊə/,full,<b>a</b>b<b>a</b>b,pers00176,o4985-w0220
power,"Whilst Danae liv'd immur'd within her tow'r,",pjo50-l05675, None but old Jove confess'd her gentle pow'r:,pjo50-l05680,/aʊə/ | /aʊə/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0160
power, Who plunged illustrious from the lofty tower;,pmt18-l12985, And bore her harmless from the tyrant's power:,pmt18-l12995,/aʊə/ | /aʊə/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0024
bower,And quits his time-shook tow'r;,o5154-l25265,Beneath his ivy bow'r.,o5154-l25280,/aʊə/ | /aʊə/,full,aa<b>b</b>cc<b>b</b>,pers00085,o5154-w0420
hour," When, from her chrystal roseate tower,",o4739-l04100,"Charming to Love is MORNING's hour,",o4739-l04095,/aʊə/ | /æə/,half-pararhyme,<b>a</b><b>a</b>,pers00284,o4739-w0170
hour,"DUNCAN, shun that conscious tower —",bhw18-l08075," Murder waits the midnight hour,",bhw18-l08085,/aʊə/ | /æə/,half-pararhyme,aabcbc<b>d</b>e<b>d</b>eff,pers00276,bhw18-w0050
