r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
gown,Nor sigh to leave the flaunting town:,o5157-l28075,The lowly cot and russet gown?,o5157-l28085,/aʊn/ | /aʊn/,full,a<b>b</b>a<b>b</b>cdcd,pers00056,o5157-w0480
stone, And from Destruction call'd the rising Town:,pmp18-l00815," Thine, like Amphion's Hand, had wak'd the Stone,",pmp18-l00810,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0020
gown," The well-squeez'd client quits the dusty town,",o4985-l27855,"Now silence charms the sages of the gown,",o4985-l27845,/aʊn/ | /aʊn/,full,<b>a</b>b<b>a</b>bbcbcc,pers00033,o4985-w0390
thrown,"So shews by day this grand imperial town,",bjb18-l11920," And, when o'er all the night's black stole is thrown,",bjb18-l11925,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0220
crown,And shame to Manners an incorrigible Town.,o3309-l00090,"Such Labours with Success her Hopes may crown,",o3309-l00085,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00339,o3309-w0010
clown,"The ruddy templar newly on the town,",o5154-l20795,"The fribbling beau, the rough unwieldy clown,",o5154-l20790,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
down,"For lonely seat she's forc'd to quit the town,",o5154-l20850,And Tubbs conveys the wretched exile down.,o5154-l20855,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
down, On that fair port and happy town. ,o4984-l03690, And with an easy eye look down,o4984-l03685,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
down, And cut out Cloaths for all the Town;,pmp18-l31600," As if She haply had sat down,",pmp18-l31595,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
down,"So Merchant has his House in Town,",pmp18-l33650, And Country-Seat near Bansted Down:,pmp18-l33655,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
down, Far from the Tumult of this Town:,pmp18-l38830," Then Richard, then should We sit down,",pmp18-l38825,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
renown," From Ireland ventures, fav'rite of the Town,",o4600-l01305, Lur'd by the pleasing prospect of Renown. ,o4600-l01310,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
down," They curse the Managers, and curse the Town,",o4600-l01535, Whose partial favour keeps such merit down. ,o4600-l01540,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
clown,"EACH saucy cit, who strolls from town,",o5156-l07755,"Or wond'ring asks, what sordid clown",o5156-l07765,/aʊn/ | /aʊn/,full,<b>a</b>b<b>a</b>b,pers00142,o5156-w0310
grown,"I saw them last of all I knew in Town,",pse03-l02850, Yet all alike to me are Strangers grown;,pse03-l02855,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0080
frown,"When he sings, may the nymphs of the town",o5155-l39110,Nay on Him let not Phillida frown;,o5155-l39120,/aʊn/ | /aʊn/,full,abab<b>c</b>d<b>c</b>d,pers00035,o5155-w0950
grown,"Of all the follies of the town,",o5154-l15815,"Except that you, when weary grown",o5154-l15810,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00112,o5154-w0230
down,Herself the Genius of the rising town.,o5156-l23840,"So sate their queen, and look'd auspicious down,",o5156-l23835,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
clown,To be sure she could breathe no where else than in town.,o5156-l06135,"Thus she talk'd like a wit, and he look'd like a clown:",o5156-l06140,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>bb,pers00035,o5156-w0200
alone,She meditates on the forsaken town:,o5153-l01870,"There melancholy, pensive, and alone,",o5153-l01865,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00030,o5153-w0020
down, For we has a club in the town. ,bsb18-l32615," I sits myself quietly down,",bsb18-l32605,/aʊn/ | /aʊn/,full,x<b>a</b>x<b>a</b>,pers00283,bsb18-w0850
down, To ravage in a country town! ,o5346-l05205,O had the archer ne'er come down,o5346-l05200,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00174,o5346-w0040
own,"Usurps a scarf, and longs to preach in town.",o5156-l07200,"The priestling, proud of doctrine not his own,",o5156-l07195,/aʊn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00142,o5156-w0290
down, Had he his love reserved for lass in town;,pcr18-l14470," Or when he came an idle coxcomb down,",pcr18-l14465,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
down,"Just then poor Lucy, from her friend in town,",pcr18-l14645, Fled in pure fear and came a beggar down;,pcr18-l14650,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
gown,"YE ladies that live in the city or town,",o5155-l12705,"And ye neat country lasses in clean linen gown,",o5155-l12715,/aʊn/ | /aʊn/,full,<b>a</b>b<b>a</b>bcc,pers00031,o5155-w0190
gown, Is of more worth than half the clerks in town:,o5089-l03805," The cross-leg'd wretch, who stitches up the gown,",o5089-l03800,/aʊn/ | /aʊn/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
renown, Of famous London town. ,o3795-l30870," Of credit and renown,",o3795-l30860,/aʊn/ | /aʊn/,full,x<b>a</b>x<b>a</b>,pers00269,o3795-w0090
