r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
maid,And meanly learned in that guilty trade,o5155-l08070,"Can long abuse a fond, unthinking maid.",o5155-l08075,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
made,"He sticks to gaming, as the surer trade;",o5154-l20505,"In craft political a bankrupt made,",o5154-l20500,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
made,"The daily subject of his sport and trade,",o5154-l20545,"Till death at length, indignant to be made",o5154-l20540,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
shade, That some well practis'd in the Ruffians Trade,o5125-l19875, Shou'd bear Sophinia from the silent Shade:,o5125-l19880,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
aid,Are samples she gives of her trade.,o5155-l19320,May call ev'ry art to her aid:,o5155-l19310,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>cdcd,pers00038,o5155-w0240
had, But exercis'd the Salesman's Trade:,pmp18-l31590,"This looks, friend Dick, as Nature had",pmp18-l31585,/eɪd/ | /æd/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
made,'Yet you must keep this vulgar Trade,o5125-l09270,'Of thieving till your Wings are made. ,o5125-l09275,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0250
blade,"For guilty Hands design'd, the sooty Trade",pdi22-l10875, On sounding Anvils shapes the temper'd Blade. ,pdi22-l10880,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
unmade," Would turn all State-affairs into a trade,",o3587-l02195," Make Laws one day, the next to be Unmade,",o3587-l02200,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
made," By trade a tailor, though, in scorn of trade,",pcr18-l13685," He served the 'Squire, and brush'd the coat he made. ",pcr18-l13690,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
laid,"Enjoy, poor imps! enjoy your sportive trade;",o5152-l31150,For when my bones in grass-green sods are laid;,o5152-l31160,/eɪd/ | /eɪd/,full,<b>a</b>b<b>a</b>bbcbcc,pers00035,o5152-w0320
made,"Better some dirty, vile, mechanic trade,",o5089-l03790," Cobler, or smith — a fortune might be made;",o5089-l03795,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
masquerade," Two Brother Hermits, Saints by Trade,",psw11-l01370, Taking their Tour in Masquerade;,psw11-l01375,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
made,"What! tho' our coffers sink, our trade",o4987-l31120, Repairs the breach which war has made;,o4987-l31125,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00204,o4987-w0850
ill-paid, And England has cruelly cramp'd us in Trade:,pba35-l11965,"From the Lands of Parnassus the Rents are ill-paid,",pba35-l11960,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0940
jade,"Sure, at the Fair, they for her Skin may trade. ",o4784-l18775, Have they no Pity thus t'o'erload the Jade! ,o4784-l18770,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0590
