r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
despise,Sate down and scribbled in a trice;,o5156-l05690,Just what you see — and you despise.,o5156-l05695,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00035,o5156-w0170
thrice,"He chang'd his figure in a trice,",pro75-l04625,"Then gently tapt her elbow thrice,",pro75-l04635,/aɪs/ | /aɪs/,full,<b>a</b>b<b>a</b>bcdcd,pers00271,pro75-w0210
nice," Rais'd and ruin'd in a Trice,",o4784-l02610," Whilst I Tender, Coy, and Nice,",o4784-l02605,/aɪs/ | /aɪs/,full,<b>a</b><b>a</b>,pers00268,o4784-w0060
vice," Servants are apt, and in a trice",ojg27-l07525, Ape to a hair their master's vice. ,ojg27-l07530,/aɪs/ | /aɪsi/,half-vowelrhyme,<b>a</b><b>a</b>,pers00303,ojg27-w0310
vice," Leap from the Dunghill in a trice,",psw11-l01185," All stain'd with Infamy and Vice,",psw11-l01180,/aɪs/ | /aɪsi/,half-vowelrhyme,<b>a</b><b>a</b>,pers00148,psw11-w0050
advice," Tells him such Heights are levell'd in a trice,",o4784-l14120," Hastes to his Ear, with safe, but lost Advice,",o4784-l14115,/aɪs/ | /aɪs/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0420
ice," Tells him such Heights are levell'd in a trice,",o4784-l14120," Preferments treach'rous, and her Paths of Ice:",o4784-l14125,/aɪs/ | /aɪs/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0420
device, Erect a new one in a trice. ,psw11-l00515," Or by Atchivement, Arms, Device,",psw11-l00510,/aɪs/ | /aɪs/,full,<b>a</b><b>a</b>,pers00148,psw11-w0040
nice," She left her Dunghil in a trice,",o5125-l17080," But seeing him so fair and nice,",o5125-l17075,/aɪs/ | /aɪs/,full,<b>a</b><b>a</b>,pers00154,o5125-w0460
price,And mere upholst'rers in a trice,o5152-l16180,On gems and painting set a price.,o5152-l16185,/aɪs/ | /aɪs/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
