r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
new,"Nothing has any worth that's fixt or true,",pdi12-l01310, But things their Value raise by being new. ,pdi12-l01315,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
rue,"O Nancy! can'st thou love so true,",o5157-l28150,"Or when thy swain mishap shall rue,",o5157-l28160,/uː/ | /uː/,full,<b>a</b>b<b>a</b>bcdcd,pers00056,o5157-w0480
two, Tho' they should speak the Thing that's true;,o5454-l01750," And lies to hide it, makes it two. ",o5454-l01760,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00292,o5454-w0150
who,"Gladly confess'd our Record true,",o3900-l10255,WHO hath believ'd the Tidings? Who? ,o3900-l10245,/uː/ | /uː/,full,<b>a</b>b<b>a</b>bcdcd,pers00309,o3900-w0580
enough," But gif ye want ae friend that's true,",cbu86-l15735,"Now, Sir, if ye hae friends enow,",cbu86-l15715,/uː/ | /aʊ/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0270
few," But gif ye want ae friend that's true,",cbu86-l15735," Tho' real friends I b'lieve are few,",cbu86-l15720,/uː/ | /uː/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0270
fow," But gif ye want ae friend that's true,",cbu86-l15735," Yet, if your catalogue be fow,",cbu86-l15725,/uː/ | /aʊ/,half-pararhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0270
loo,"Methinks, old friend, 'tis wond'rous true,",o5156-l05480,That verse is but a game at Loo. ,o5156-l05485,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00035,o5156-w0170
new, That grac'd his mistress true;,o5089-l17610, Nor oft I ween the new. ,o5089-l17620,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00099,o5089-w0310
new," Love-tales she told, some fictious and some true,",o5125-l19065, The Subject various and her Stories new;,o5125-l19070,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
view," To take for truth what cannot but be true,",o3794-l13230," Candid and just, with no false aim in view,",o3794-l13225,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
you, May insert things supposed true. ,oae86-l01505," Any with what you write, because that you",oae86-l01500,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
too,"And that she's all that's pious, chaft and true,",oae86-l01840," Heroick, constant, nay, and modest too:",oae86-l01845,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
