r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
true," And lies to hide it, makes it two. ",o5454-l01760, Tho' they should speak the Thing that's true;,o5454-l01750,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00292,o5454-w0150
who," were esteemed modest by a blush or two,",oae86-l00905,"But now the scene is alter'd, and those who",oae86-l00900,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
due," 'Till Jove and Earth shall part these two,",o4106-l09895," To Care who join'd them, Man is due. ",o4106-l09900,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
adieu,"And chastly live, confin'd to two.",o5156-l25445,"Then oh! to lewdness bid adieu,",o5156-l25440,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00083,o5156-w0720
brew,'Before the Date of Twenty two;,o5125-l12120, 'And more — that he again could brew,o5125-l12115,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
view," Fools, hand in hand with fools, go two by two. ",o4600-l01070," Pantomine figures then are brought to view,",o4600-l01065,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
adieu," And the cuckow bird with two,",o5089-l37395, Bid the setting sun adieu. ,o5089-l37405,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00168,o5089-w0800
show, And now you see the needle holds but two! ,bsb18-l09730,"Yon garter, too, had once three loops to show,",bsb18-l09725,/uː/ | /əʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0090
renew," And the small thread must break in two."" ",bsb18-l20200," Alas! the task we must renew,",bsb18-l20195,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0260
do,At the least an hour or two;,o5152-l13580,I believe the dose will do.,o5152-l13590,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00001,o5152-w0170
you," Be pleas'd to steal a Glance or two,",o5125-l16655, But one may serve to make you —,o5125-l16660,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0440
pursue,"Cleanthus staid a day or two,",prc90-l01595," Till cruel foes his steps pursue,",prc90-l01600,/uː/ | /uː/,full,<b>a</b><b>a</b>bccb,pers00328,prc90-w0060
view," With PRUDENCE it is ten, with FLORIO two. ",o4111-l00200,"Each takes the phrase in his own private view,",o4111-l00195,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
true, I'll justly divide it in two;,peh89-l06015," Is beautiful, witty, and — true. ",peh89-l06025,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00324,peh89-w0040
true, Enjoy at least a Friend — or two:,o3665-l00390," Then might a Royal Youth, and true,",o3665-l00385,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
do, But I'm resolv'd it shall be two:,o5125-l09905," You'll cry perhaps, One Bit may do,",o5125-l09900,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0280
go, Her Feet together ty'd; between them two,o4784-l18590, They heav'd her up; and on the Rusticks go:,o4784-l18595,/uː/ | /əʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0590
too, He'll find himself one worth twenty times two,ilc19-l01190, An Old Peer of England by inheritance too;,ilc19-l01180,/uː/ | /uː/,rich,<b>a</b>a<b>a</b>,pers00215,ilc19-w0030
new, He'll find himself one worth twenty times two,ilc19-l01190, But unless he is fond of a Bauble that's new —,ilc19-l01185,/uː/ | /uː/,full,a<b>a</b><b>a</b>,pers00215,ilc19-w0030
view, 'Till Time and Industry (the mighty Two,pmp18-l20540, That bring our Wishes nearer to our View),pmp18-l20545,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
due,And dine at twelve if their town-clock strike two?,o5154-l06065,"What tho' some think implicit faith be due,",o5154-l06060,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
crew, Because we sometimes walk on two! ,ojg27-l09845,I hate the imitating crew. ,ojg27-l09850,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0410
you,Which is the saintlier worthy of the two? ,o3794-l07555,"Past all dispute, yon anchorite say you. ",o3794-l07560,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
ado, Her Cloaths were huddl'd on by Two:,pmp18-l11255, At Twelve She rose: with much ado,pmp18-l11250,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0450
do,"You of Hay-making speak a Word or two,",pco62-l00215, As if our Sex but little Work could do:,pco62-l00220,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00293,pco62-w0010
you,"YOU! happier than the former Two,",o4741-l24190, 'Twas Theirs to curse the World; but YOU,o4741-l24200,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00091,o4741-w0470
blue, Futurity he rates at two pound two. ,o4198-l04240,"Would you ask more, his swelling face looks blue;",o4198-l04235,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00288,o4198-w0190
grew,"So closely seated were the two,",o5154-l24845,Together you wou'd think they grew:,o5154-l24850,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00104,o5154-w0400
do, For I have the easier Task of the two. ,pba35-l05350,"Then, Rose, mind your Learning, whatever you do;",pba35-l05345,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00087,pba35-w0360
adieu," And the cuckoo bird with two,",o4986-l34160, Bid the setting sun adieu. ,o4986-l34170,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00168,o4986-w0920
do,"Can dine extremely well at two,",pjo50-l06480, As other sober people do;,pjo50-l06485,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0190
pew,"At church can pass an hour or two,",pjo50-l06515, With much good breeding in her pew;,pjo50-l06520,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0190
you, My Name (esteem'd by one or two),o5125-l10080," Was Mira — while I liv'd like you,",o5125-l10085,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0290
you," I swept my House, and din'd by Two,",o5125-l10200, That fatal Day expecting you;,o5125-l10195,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0290
view," Their visits pay to one or two,",o3552-l03400," Others, with mean and partial view,",o3552-l03395,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
do,Should the committee chance to sit till two.,o5152-l34850,"But sleeping's what the wisest men may do,",o5152-l34845,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00143,o5152-w0330
do,"To pass an hour or two,",o5154-l33575,"At ""What shall this man do?""",o5154-l33585,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00096,o5154-w0620
do, He heard a Nation hearing one or two;,o3589-l02360, Made to believe (what can't a Fav'rite do),o3589-l02355,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
view, Except to chat an hour or two. ,pjo50-l05355," But with no other earthly view,",pjo50-l05350,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0140
do," ""Is to give him a gentle Cathartic or two;",o3364-l01800,""" Is become a Tenesmus, and all we can do",o3364-l01795,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
do," But since I chance to want these two,",o4106-l09415, I'll make the Songs of D—y do. ,o4106-l09420,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00294,o4106-w0140
do,'But then your Faults will take up two. ,o5125-l12530," 'One small one for your Wit may do,",o5125-l12525,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0350
few, But then how hobbling are the other two;,o4198-l02755," There are some beauties, but they're very few. ",o4198-l02760,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00288,o4198-w0140
go," Here two for Wheat, and there for Barley two. ",o4741-l01035,"As he directs, to distant Barns we go;",o4741-l01030,/uː/ | /əʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0030
shoe,"""To those who strut about with two;",o5125-l04120," ""From batter'd Bards with ne'er a Shoe",o5125-l04115,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0130
crew," Bestow'd a Grey-goose Quill or two,",o5125-l04330,"Apollo next upon the Crew,",o5125-l04325,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00154,o5125-w0130
