r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shun, And each fond lover be undone? ,o4987-l28705,The sad remembrance let me shun! ,o4987-l28715,/ʌn/ | /ʌn/,full,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
one,"And seeks in crowds, like her undone,",o5153-l23115,What only can be found in one.,o5153-l23120,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
gone,"Oh Israel, of all nations most undone! ",o3794-l11270,"Thy diadem displac'd, thy sceptre gone;",o3794-l11275,/ʌn/ | /ɒn/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
won," Before I knew what 'twas to be undone,",pyl90-l00860," Unheedful of the event my heart was won,",pyl90-l00855,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
known, That simple Cupid was undone. ,pmp18-l07780,"Ill News goes fast: 'Twas quickly known,",pmp18-l07775,/ʌn/ | /əʊn/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0270
gone," Yet how are You, or I undone? ",pmp18-l07955,The Dice were false: the Darts are gone:,pmp18-l07950,/ʌn/ | /ɒn/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0270
shun,"While the unwary Virgin is undone,",ppo24-l05210, And meets the Misery which she ought to shun. ,ppo24-l05215,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0040
on," To Gaze, and Sigh, and think my self undone;",oar96-l09460,No more the Smiling Beaux shall tempt me on,oar96-l09455,/ʌn/ | /ɒn/,half-pararhyme,<b>a</b><b>a</b>,pers00265,oar96-w0490
run,"Grant him that leisure, and the fool's undone.",o5152-l25855,(His boasted wish from busy scenes to run),o5152-l25850,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
run,"Again she plays, and is again undone.",o5154-l20825,"All night from rout to rout her chairmen run,",o5154-l20820,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00112,o5154-w0320
begun, How cruel to leave me thus lost and undone! ,o4986-l19785," ""Ah, my Strephon! (twas thus the fair mourner begun,)",o4986-l19780,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>bbcc,pers00240,o4986-w0430
gone," And now I must be undone,",pse03-l04585,"Yet, spite of all he's gone,",pse03-l04575,/ʌn/ | /ɒn/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00272,pse03-w0190
run," I saw, and was undone. ",o3555-l05435, Thro' all my senses run;,o3555-l05420,/ʌn/ | /ʌn/,full,aa<b>b</b>cc<b>b</b>,pers00149,o3555-w0160
sun," Was Narva, by his excellence undone. ",o4039-l00985," Compleatly beauteous as a summers sun,",o4039-l00980,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00288,o4039-w0070
gone," I was not so insensibly undone,",pse03-l02795," To hoord up Counters, when my Gold was gone. ",pse03-l02800,/ʌn/ | /ɒn/,half-pararhyme,<b>a</b><b>a</b>,pers00272,pse03-w0080
begun,She is faithless — and I am undone.,o5155-l39365,She was fair — and my passion begun;,o5155-l39355,/ʌn/ | /ʌn/,full,ababc<b>d</b>c<b>d</b>,pers00035,o5155-w0950
shun,"She is faithless, and I am undone;",o5155-l39410,Let reason instruct you to shun,o5155-l39420,/ʌn/ | /ʌn/,full,<b>a</b>b<b>a</b>bcdcd,pers00035,o5155-w0950
begun,"Was faithless, and I am undone!",o5155-l39565,With the same sad complaint it begun;,o5155-l39555,/ʌn/ | /ʌn/,full,ababc<b>d</b>c<b>d</b>,pers00035,o5155-w0950
son," Beholds with joy a trusting friend undone,",o3585-l00295," Betrays a Brother, and would cheat a Son:",o3585-l00300,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
shun," My Credit at last gasp, my State undone,",o3585-l00545," Trembling to meet the shock I could not shun,",o3585-l00550,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
won,"Fond of her ruin, pleas'd to be undone,",o5156-l23245,She reaps the conquest that her eyes had won.,o5156-l23250,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
run, And we are twice undone. ,o5125-l25300, To lenient Arts we run;,o5125-l25290,/ʌn/ | /ʌn/,full,a<b>b</b>a<b>b</b>,pers00154,o5125-w0660
one,"What, leave this trifling Task undone!",o5354-l01015,And think'st Thou this the only one?,o5354-l01020,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
sun," But ne'er shall he know, who my peace has undone,",bao18-l02515,"I AM wearing away like the snow in the sun,",bao18-l02505,/ʌn/ | /ʌn/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0050
run, By hope perverted and by love undone;,pcr18-l16795," Through all the common ills of life may run,",pcr18-l16790,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
run,"I am cheated, I'm robb'd, I'm undone.",o5157-l29805,"And with that to Jove's palace she run,",o5157-l29795,/ʌn/ | /ʌn/,full,a<b>b</b>a<b>b</b>,pers00072,o5157-w0530
one, Who trusts too much to either is undone. ,pse03-l00590," Their Quality's I'm sure do prove all one,",pse03-l00585,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00272,pse03-w0010
one,"For wanting wit, be totally undone,",o5153-l27710,And barr'd all arts for having fail'd in one.,o5153-l27715,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
alone," Oh! wretched Psyche, now indeed undone! ",pmt18-l10085, She feels herself forsaken and alone:,pmt18-l10075,/ʌn/ | /əʊn/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
on,"They will pursue it, tho' they be undone,",pro75-l04145,"They see their ruin, — still they venture on.",pro75-l04150,/ʌn/ | /ɒn/,half-pararhyme,<b>a</b><b>a</b>,pers00271,pro75-w0180
won," Of nations conquer'd, and of Worlds undone;",o4111-l00640,"In vain he tells of battles bravely won,",o4111-l00635,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
run, Whilst Life's important Business is undone;,pba35-l04880," Who thro' new Scenes of Pleasure hourly run,",pba35-l04875,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00087,pba35-w0340
won," The Chief, and all, but his false Friend, undone:",ppo24-l08720,"But when the Battle was by Treach'ry won,",ppo24-l08715,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
gone," If I survive, 'tis but to be undone. ",ppo24-l09765,"For when you are to endless Raptures gone,",ppo24-l09760,/ʌn/ | /ɒn/,half-pararhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0120
run," Thieves, Thieves! cries Susan; We're undone;",pmp18-l08395,The Door is open'd: up They run:,pmp18-l08385,/ʌn/ | /ʌn/,full,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0310
