r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
abused,"LONG from a nation, ever hardly us'd,",o4600-l01725," At random censur'd, wantonly abus'd,",o4600-l01730,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
bruised,"Passive Obedience must be us'd,",o4784-l19050," But whilst One Flea is slowly bruis'd,",o4784-l19060,/uːzd/ | /uːzd/,full,<b>a</b>b<b>a</b>b,pers00268,o4784-w0600
mused," Second Thoughts, and Third she us'd,",o4784-l02555, Weighing Consequences mus'd;,o4784-l02560,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0060
refused,"Like a Designing Captive now I'm us'd,",oat77-l06645,A Pris'ners Common Curtesies refus'd;,oat77-l06650,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00344,oat77-w0410
excused," What, ev'ry suitor kindly us'd? ",o5089-l16930,"If wrong, their folly is excus'd,",o5089-l16935,/uːzd/ | /uːzd/,full,aab<b>c</b><b>c</b>b,pers00098,o5089-w0290
refused,"By them, no doubt, you'll tenderly be us'd,",ppo24-l10355, They seldom ask a Favour that's refus'd:,ppo24-l10360,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
bruised," Has said, that I foul Play had us'd,",o4784-l00075, And with my Weight th' Opposer bruis'd;,o4784-l00080,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0010
refused,"But were you sure to be unkindly us'd,",ppo24-l02685," Coldly receiv'd, and scornfully refus'd;",ppo24-l02690,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0020
abused,"""To please your wife am I unkindly us'd?",o5152-l11860,"""For what young flirt, base man, am I abus'd?",o5152-l11855,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00001,o5152-w0110
refused," Accursed was the force he used,",pcr18-l25540," For mercy, and be so refused! ",pcr18-l25550,/uːzd/ | /uːzd/,full,a<b>b</b>a<b>b</b>,pers00275,pcr18-w0080
excused,"And he so press'd it, that we us'd",o5157-l20260,Some pains to get ourselves excus'd.,o5157-l20265,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00114,o5157-w0300
abused,"A Muse by these is like a Mistress us'd,",o3675-l02175," This hour she's idoliz'd, the next abus'd;",o3675-l02180,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00012,o3675-w0010
abused,"And is not ev'ry term that's us'd,",o4899-l05965," Still, liable to be abus'd? ",o4899-l05970,/uːzd/ | /uːzd/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
