r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
gales," Smooth'd into Green, eternal Vales;",o4602-l00650, Her Air still rich with balmy Gales:,o4602-l00660,/eɪlz/ | /eɪlz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
gales, One Ev'ning wander'd o'er the dewy Vales;,o5125-l19010,"CELIA and I, to share the vernal Gales,",o5125-l19005,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
gales," Turn not to Gallia's sunny vales,",o4739-l00115," Nor mix with yours Italia's gales,",o4739-l00120,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00284,o4739-w0020
gales," They rested in Italia's pleasant vales,",cac95-l06215, Till vernal showers were chas'd by warmer gales;,cac95-l06220,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
gales," Where clear streams wander thro' luxuriant vales,",o4987-l13600," Midst cloudless skies and ever-tepid gales,",o4987-l13605,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00250,o4987-w0390
hails," Who, Habitants of Albion's inland vales,",bse96-l01205,"THEE, STANLEY, thee, our gladden'd spirit hails,",bse96-l01195,/eɪlz/ | /eɪlz/,full,<b>a</b>b<b>a</b>b,pers00282,bse96-w0030
whales," Others deep hide, and press the slimy Vales. ",pdi22-l03065,"One Sort, that keeps the Seas, is rank'd with Whales,",pdi22-l03060,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
gales, Silent descend and spread on all the Vales;,pdi22-l06775,"As when soft Snows, brought down by Western Gales,",pdi22-l06770,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
scales,"Now settled Peace broods on the smiling Vales,",pdi22-l12415, And steady Justice holds th' impartial Scales. ,pdi22-l12420,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
regales,Thus in ITALIA'S lovely vales,o5153-l34910,"Reviving heat each sense regales,",o5153-l34920,/eɪlz/ | /eɪlz/,full,<b>a</b>b<b>a</b>b,pers00147,o5153-w0670
inhales,Or scent Sabea's blooming vales.,o5156-l03090,"From Hybla's fragrant hill inhales,",o5156-l03085,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00035,o5156-w0080
assails," Prince of the Mice that haunt the flow'ry Vales,",o4106-l06395,"Lymnisius good Tyroglyphus assails,",o4106-l06390,/eɪlz/ | /eɪlz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
dales,And flow'r-embroider'd vales,o5153-l07720,To your sequester'd dales,o5153-l07715,/eɪlz/ | /eɪlz/,full,aabcbe<b>d</b><b>d</b>effggchh,pers00030,o5153-w0290
