r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
eye, Where flowers with meek contention vie,bsb18-l10315," To yield perfume, or win the eye,",bsb18-l10320,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
sigh,"My friends, that each in kindness vie,",o5156-l04475,Might well expect one parting sigh;,o5156-l04480,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>bb,pers00035,o5156-w0124
i," With him in fame, as well as size, I'll vie. ",o4103-l02350, Yet had not more external man than I;,o4103-l02340,/aɪ/ | /aɪ/,full,a<b>b</b>a<b>b</b>cc,pers00254,o4103-w0110
die," ""Let jessamine with lilies vie,",pcm93-l06910," ""Give to the pink a fresher die,",pcm93-l06900,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0080
majesty, The gold and purple crocus vie,pmt18-l20785, To mock the pomp of majesty. ,pmt18-l20790,/aɪ/ | /ædʒəsti/,half-pararhyme,<b>a</b><b>a</b>,pers00320,pmt18-w0340
eye,"Why must the Heroe with the Nailor vie,",o4600-l03465, And hurl the close-clench'd fist at nose or eye? ,o4600-l03470,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
sky,With fam'd Italia's plains may vie,o5155-l31410,"Your fertile fields, and healthful sky.",o5155-l31415,/aɪ/ | /aɪ/,full,aa<b>b</b><b>b</b>,pers00057,o5155-w0641
lie, Beauteous and black; their lips with rubies vye;,o4985-l21100, What thousand dimpling smiles in ambush lie! ,o4985-l21110,/aɪ/ | /aɪ/,full,a<b>b</b>a<b>b</b>cdcdee,pers00058,o4985-w0300
eye, We view vile copper with pure sterling vie;,o4987-l21595," Beneath her magic touch, with wondering eye,",o4987-l21590,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
eye,And each in youth and beauty strove to vie;,pro75-l05930,"A group of lovely damsels caught my eye,",pro75-l05925,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00271,pro75-w0300
die,"""With the notes of his charmer to vie;",o5155-l39195,"""Repine at her triumphs, and die. """,o5155-l39205,/aɪ/ | /aɪ/,full,ababc<b>d</b>c<b>d</b>,pers00035,o5155-w0950
die,"Sea-Toads with Foxes may for Cunning vie,",pdi22-l07685, These too (as Rusticks tell) will feign to die. ,pdi22-l07690,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
ply,"None can in Force with furious Dolphins vie,",pdi22-l11325, Or the strong Fin with equal Vigour ply. ,pdi22-l11330,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
eye,With folly's gayest partizans to vye,o5154-l02175,"To move the pliant limbs, to roll the luring eye;",o5154-l02170,/aɪ/ | /aɪ/,full,aabb<b>c</b><b>c</b>deed,pers00031,o5154-w0060
eye,Some crayon pencils Art had taught to vie,bsb18-l09255, With the meek lustre of the living eye;,bsb18-l09260,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
sky, Whose tints in vernal freshness vie,bhw18-l18950," With plants beneath an austral sky, —",bhw18-l18955,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0460
die, With whose bless'd pattern vie. ,psm63-l01290, Which says thou shalt not die:,psm63-l01275,/aɪ/ | /aɪ/,full,aa<b>b</b>cc<b>b</b>,pers00254,psm63-w0010
sigh," Scorn'd by those friends with whom I once could vie,",prc90-l05940," Without one kind companion doom'd to sigh,",prc90-l05945,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00328,prc90-w0450
eye,"No more her cheeks with crimson roses vie,",o5156-l10480,No more the diamond sparkles in her eye;,o5156-l10485,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00145,o5156-w0410
fly,"They tell you, those soft Lips may vie",o5125-l25890," And yet you slew a simple Fly,",o5125-l25900,/aɪ/ | /aɪ/,full,<b>a</b>b<b>a</b>b,pers00154,o5125-w0680
out-lie," With Royal Favourites in Flatt'ry vie,",o3683-l00230, And Oldmixon and Burnet both out-lie. ,o3683-l00235,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
eye," With her slight form could vye,",o3462-l00625, Was faint to her bright eye. ,o3462-l00635,/aɪ/ | /aɪ/,full,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
i,""" With thrush or lark can vie:",pik94-l01095,""" Foe to ambition I;",pik94-l01085,/aɪ/ | /aɪ/,full,x<b>a</b>x<b>a</b>,pers00327,pik94-w0040
try,"Nor, sprung from mortals, with immortals vie.",o5152-l06445,"Forbear, rash youth, th' unequal war to try;",o5152-l06440,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
high, How few in safety thus with kings can vie! ,o5089-l24870,"If not supreme, how dangerous to be high! ",o5089-l24875,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00137;pers00191,o5089-w0530
high,'If rural Swains shall with our Musick vie: ',o5125-l14690," 'In vain we keep our radiant Seats on high,",o5125-l14685,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0390
deny," ""Tho' she with them in all their Graces vie;",pba35-l05845,"""Yet I'll their universal Tongue deny. ",pba35-l05850,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00261,pba35-w0410
