r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
defile," The walls and windows, rhymes and reck'nings vile;",pcr18-l09995," Black pipes and broken jugs the seats defile,",pcr18-l09990,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
while," From Luxury's contagion, weak and vile! ",cbu86-l10725," A virtuous Populace may rise the while,",cbu86-l10735,/aɪl/ | /aɪl/,full,ababb<b>c</b>b<b>c</b>c,pers00307,cbu86-w0130
isle," From Luxury's contagion, weak and vile! ",cbu86-l10725, And stand a wall of fire around their much-lov'd ISLE. ,cbu86-l10740,/aɪl/ | /aɪl/,full,ababb<b>c</b>bc<b>c</b>,pers00307,cbu86-w0130
isle, Still from the Good distinguishing the Vile;,o4672-l12405,"Draw next above, the Great Ones of our Isle,",o4672-l12400,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00292,o4672-w0620
isle, That bears her swiftly from a scene so vile;,pmt18-l16070, The dreary prospect of Glacella's isle;,pmt18-l16060,/aɪl/ | /aɪl/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0025
defile," With ev'ry Filth, and Salt as vile;",pba35-l07310, His crystal Clearness can defile,pba35-l07305,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00087,pba35-w0510
isle,"""Upon this imp of hell, this monster vile. """,o5155-l16105,"""That thus infects your sea-begirted isle;",o5155-l16095,/aɪl/ | /aɪl/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o5155-w0200
mile,"""Upon this imp of hell, this monster vile. """,o5155-l16105,"""Away from hence not passing sure a mile,",o5155-l16110,/aɪl/ | /aɪl/,full,aba<b>b</b><b>b</b>cbcc,pers00033,o5155-w0200
magic-style,"""Upon this imp of hell, this monster vile. """,o5155-l16105,"Return'd the swain, ""Deep-read in magick-style",o5155-l16120,/aɪl/ | /aɪl/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o5155-w0200
smile," So shall the tomb corrupt and vile,",pma99-l08520, The distant frown become a smile. ,pma99-l08530,/aɪl/ | /aɪl/,full,a<b>b</b>a<b>b</b>,pers00306,pma99-w0470
defile,"Should they, a race uncircumcis'd and vile,",cer72-l01200, With lawless mixtures Abram's flock defile? ,cer72-l01205,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
beguile,"Forthy, false Archimago, traytor vile,",o5153-l09290,'Gan cast with foreign pleasures to beguile,o5153-l09300,/aɪl/ | /aɪl/,full,<b>a</b>b<b>a</b>bbcbcc,pers00024,o5153-w0310
while,"Of courtly sycophants and caitifs vile,",o5153-l10125,And in that school of servitude ere while,o5153-l10135,/aɪl/ | /aɪl/,full,ababb<b>c</b>b<b>c</b>c,pers00024,o5153-w0310
beguile,"Of courtly sycophants and caitifs vile,",o5153-l10125,"Had learn'd to bow and grin, and flatter, and beguile.",o5153-l10140,/aɪl/ | /aɪl/,full,ababb<b>c</b>bc<b>c</b>,pers00024,o5153-w0310
while," Pimps, Lawyers, Stewards, Harlots, Flatterers vile,",o3818-l02300," His Father's Ghost from Limbo-Lake, the while,",o3818-l02310,/aɪl/ | /aɪl/,full,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
pile," Pimps, Lawyers, Stewards, Harlots, Flatterers vile,",o3818-l02300," Sees This, which more Damnation does upon him pile. ",o3818-l02315,/aɪl/ | /aɪl/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
defile, His black rough Beard was matted rank and vile;,o3818-l07050,Meantime foul Scurf and Blotches him defile;,o3818-l07060,/aɪl/ | /aɪl/,full,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
while, His black rough Beard was matted rank and vile;,o3818-l07050," And Dogs, where-e'er he went, still barked all the While. ",o3818-l07065,/aɪl/ | /aɪl/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
smile,"O sordid maxim, form'd to screen the vile,",o5154-l37825,That true good-nature still must wear a smile!,o5154-l37830,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
smile,"Or madly blaze unknown defects, is vile:",o5154-l38010,"To brand a doubtful folly with a smile,",o5154-l38005,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
toil," So abject, mean and vile,",cbu86-l12850, To give him leave to toil;,cbu86-l12860,/aɪl/ | /ɔɪl/,half-pararhyme,x<b>a</b>x<b>a</b>xbxb,pers00307,cbu86-w0180
style,"So filthy Dogril and so Vile,",oau90-l08310,"Now rails, now writes, but such a Stile,",oau90-l08305,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00350,oau90-w0280
style,"No; trust not to your Soothings vile,",o4784-l17330, Receiv'd per me's the only Stile. ,o4784-l17335,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00268,o4784-w0550
guile,"Make public virtue, public freedom vile;",o5157-l03260,Which Thou hast kept intire from force and factious guile.,o5157-l03275,/aɪl/ | /aɪl/,full,ababacdd<b>e</b>cc<b>e</b>,pers00047,o5157-w0030
nile,"Their Name more low, their Servitude more vile,",pmp18-l51820," Shall, on Euphrates' Bank, renew the Grief of Nile. ",pmp18-l51825,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
