r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
state,On Thee bade YOUTH and BEAUTY wait.,o5156-l24935,"To adorn the gift, and grace thy state,",o5156-l24930,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
state,What perils round thy heedless youth may wait! ,pcm93-l10665, To my fond mind recall thy infant state;,pcm93-l10655,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0270
state,"Knowledge and Peace, his fondled handmaids wait:",o5154-l10235,"He comes! on either hand in seemly state,",o5154-l10230,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
gait,"Says T –,"" On her the Graces seem to wait;",bjl92-l13675," Her form, how fair! enchanting is her gait. ",bjl92-l13680,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0560
fate," Ordains, on Earth and human Acts to wait;",pmp18-l06625,"Ye careful Angels, whom eternal Fate",pmp18-l06620,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0225
fate, When on their Queen the Muses wait;,psw11-l03055, For Vows Divine are kept by Fate. ,psw11-l03065,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>,pers00148,psw11-w0100
fate,"Fearless of perils, that around him wait,",yfs88-l00415, He braves the dangers of impending fate;,yfs88-l00420,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
fate," Of Heaven, why do thy terrors round me wait? ",pye85-l01965, For V—'s bright virtues speak a happier fate. ,pye85-l01975,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>,pers00256,pye85-w0050
state,"That majesty august on which you wait,",o5156-l38095,"You who resemble, in rich robes of state,",o5156-l38090,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
hate,"In deadly silence, treacherous Friendships wait.",o5155-l32035,"With changeful colour, grinning smiles of hate:",o5155-l32025,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>,pers00057,o5155-w0670
state," Whilst principals, ungrac'd, like lacquies wait;",o4600-l02820," To epithets allots emphatic state,",o4600-l02815,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
elate," Here does the Muse impatient wait,",bjl92-l08510,"DEAR lovely babe, with hearts elate,",bjl92-l08500,/eɪt/ | /eɪt/,full,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0330
state," What Guardian-Angels on thy Slumbers wait,",pba35-l09230, To paint the Glories of thy future State;,pba35-l09235,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00087,pba35-w0700
fate," Conscious of all the Ills, that round him wait;",o4741-l07180,"THUS the unhappy Youth laments his Fate,",o4741-l07175,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
state," Prudence, and Foresight on thee wait,",pjo50-l08880, And Poverty lies here in state! ,pjo50-l08885,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0300
state," 'Tis not the tinsel grandeur, taught to wait,",o3585-l01545," At custom's call, to mark a fool of State",o3585-l01550,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
fate,Yet see how all around 'em wait,tgaen-l03825,"The ministers of human fate,",tgaen-l03830,/eɪt/ | /eɪt/,full,abab<b>c</b><b>c</b>deed,pers00039,tgaen-wodec
bait,"The willing Fish around ambitious wait,",pdi22-l00455," Fly to the Line, and fasten on the Bait. ",pdi22-l00460,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fate,"Unmov'd they stretch themselves, and longing wait,",pdi22-l01225, Till some poor Fish urg'd by unkinder Fate,pdi22-l01230,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
straight, And now the coming Birth impatient wait. ,pdi22-l05195," Pass the Propontis, and the Thracian Straight,",pdi22-l05190,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
skate, When rav'nous Shoals the Prey impatient wait. ,pdi22-l06295,"The same fond Care commends the thorny Skate,",pdi22-l06290,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
state," Their Doom expecting they intrepid wait,",pdi22-l11975, Ev'n then are careful to preserve their State;,pdi22-l11980,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fate," That throng his Throne, and on the Godhead wait,",pdi22-l12520,"May Jove, and those bright Messengers of Fate,",pdi22-l12515,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fate,But coward-like irresolute I wait,o5155-l09345,"Time's tardy aid, nor dare to rush on fate;",o5155-l09350,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
fate," While yet the ling'ring pangs of torture wait,",bhw18-l02725, While yet VALVERDA'S power suspends his fate. ,bhw18-l02730,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
state,"Near thy Pavilion list'ning Princes wait,",o4784-l08390, Seeking from thine to learn their Monarch's State. ,o4784-l08395,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00268,o4784-w0170
fate,"Shewing the scenes that fallen virtue wait,",bed98-l07745,A sovereign warning from its dreadful fate:,bed98-l07750,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00340,bed98-w0160
fate,"For this, rough clown, long pains on thee shall wait,",pye85-l06185, And freezing want avenge their hapless fate;,pye85-l06190,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
fate, Whilst wilder horrors to receive her wait;,pye85-l07410,"She starts — then seiz'd the moment of her fate,",pye85-l07400,/eɪt/ | /eɪt/,full,<b>a</b>a<b>a</b>,pers00256,pye85-w0170
grate, Whilst wilder horrors to receive her wait;,pye85-l07410," Quits the lone cloyster and the horrid grate,",pye85-l07405,/eɪt/ | /eɪt/,full,a<b>a</b><b>a</b>,pers00256,pye85-w0170
hate, Whilst lurking felons on their motions wait. ,o4985-l18255," And ruthless Envy, and relentless Hate,",o4985-l18245,/eɪt/ | /eɪt/,full,a<b>b</b>a<b>b</b>,pers00217,o4985-w0280
fate,"Alas! when now the gloomy king they wait,",pcr18-l15800, 'T is weakness yielding to resistless fate;,pcr18-l15805,/eɪt/ | /eɪt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
