r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
cause, Behold great Hector — issue from the walls. ,pcc86-l02970,Arm'd in his country's — and his kindred's cause —,pcc86-l02965,/ɔːlz/ | /ɔːz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00323,pcc86-w0230
calls, And pale Vice trembles at the sacred Walls;,o5125-l05780," At Chapel where soft Grace and Virtue calls,",o5125-l05775,/ɔːlz/ | /ɔːlz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
falls, On the blue Curtains and the dusty Walls:,o5125-l03490,"Convinc'd too soon, her Eye unwilling falls",o5125-l03485,/ɔːlz/ | /ɔːlz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0120
crawls,Yet ancient state sits hov'ring on the walls.,o5157-l26745,"Tho' round each stone the sluggard ivy crawls,",o5157-l26740,/ɔːlz/ | /ɔːlz/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
galls," Clos'd in a proud seraglio's gloomy walls,",o4987-l20315," Where each fair neck the yoke of slavery galls,",o4987-l20310,/ɔːlz/ | /ɔːlz/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
calls,"To stop these crannies in the walls,",o5154-l14070,Your skill the voice of prudence calls,o5154-l14065,/ɔːlz/ | /ɔːlz/,full,<b>a</b><b>a</b>a,pers00091,o5154-w0200
falls,"To stop these crannies in the walls,",o5154-l14070,And prop the roof before it falls.,o5154-l14075,/ɔːlz/ | /ɔːlz/,full,a<b>a</b><b>a</b>,pers00091,o5154-w0200
falls," That, never suffered to approach her walls,",pmt18-l11725," On me her irritated vengeance falls,",pmt18-l11715,/ɔːlz/ | /ɔːlz/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0024
calls," That, never suffered to approach her walls,",pmt18-l11725," Unheard, indignant truth in vain for justice calls. ",pmt18-l11730,/ɔːlz/ | /ɔːlz/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0024
calls, Nor Envy dwelt within his peaceful Walls:,o5125-l17620," No dark Intrigue for open Vengeance calls,",o5125-l17615,/ɔːlz/ | /ɔːlz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0470
calls, Why leaves she not Augusta's walls? ,bmb97-l03125," Why comes not Jane? When friendship calls,",bmb97-l03120,/ɔːlz/ | /ɔːlz/,full,<b>a</b><b>a</b>,pers00315,bmb97-w0060
