r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
deeds, As richest soil the most luxuriant weeds;,o3794-l11055,"But grace abus'd brings forth the foulest deeds,",o3794-l11050,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
seeds," Producing nothing, but some trifling Weeds. ",o4741-l00540," Waste and uncultivated, void of Seeds,",o4741-l00535,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0010
deeds,""" That chain the soul, and stript these mortal weeds;",o4985-l21310,""" As gold by fire, by great and virtuous deeds,",o4985-l21300,/iːdz/ | /iːdz/,full,a<b>b</b>a<b>b</b>cdcdee,pers00058,o4985-w0300
leads,"To starve on wastes, or feast on pois'nous weeds.",o5154-l05205,"And blindly wanders, as his fancy leads,",o5154-l05200,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
feeds," Loud-breathing cow among the juicy weeds,",bjb18-l06350," Nor grunting sow that in the furrow feeds,",bjb18-l06355,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0090
meads,"I've seen the Deep o'er-spread with stringy Weeds,",pdi12-l00750, And depthless Waters look like verdant Meads. ,pdi12-l00755,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0030
seeds," In garden-plat thou sow, or noxious weeds",bjb18-l18160," Thy present moment, whether hopeful seeds",bjb18-l18155,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0430
bleeds,"Th' one yields no Grapes, the other only weeds:",oau90-l15190,"His Garden's fruitless, and his Vineyard bleeds,",oau90-l15185,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00350,oau90-w0520
feeds," Its patient drudges with dry chaff and weeds,",o3794-l25505, Sick of the service of a world that feeds,o3794-l25500,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
seeds," And wanton Gales, that whistle in the Weeds,",pdi12-l04550, From flowing Grass disperse the riper Seeds. ,pdi12-l04555,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0130
deeds," ""Our MILTON's Eden had lain wrapt in Weeds,",o3818-l05840,""" To Thirst of Glory, and heroic Deeds;",o3818-l05815,/iːdz/ | /iːdz/,full,a<b>b</b>abbc<b>b</b>cc,pers00020,o3818-w0010
reeds," ""Our MILTON's Eden had lain wrapt in Weeds,",o3818-l05840,""" Had silent slept amid the Mincian Reeds:",o3818-l05825,/iːdz/ | /iːdz/,full,aba<b>b</b>bc<b>b</b>cc,pers00020,o3818-w0010
beads," ""Our MILTON's Eden had lain wrapt in Weeds,",o3818-l05840," ""The Wits of modern Time had told their Beads,",o3818-l05830,/iːdz/ | /iːdz/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
heeds,"The Virtuoso, rich in Sun-dry'd Weeds,",o5125-l00810," The Politician, whom no Mortal heeds,",o5125-l00815,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0020
seeds," Of baneful Aconite, and noxious Weeds. ",pdi13-l01015,But ripens with like Care the growing Seeds,pdi13-l01010,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00266,pdi13-w0010
reeds,"No Moisture can suffice th'insatiate Weeds,",pdi13-l03410," Cresses, and filmy Rush, and flaggy Reeds. ",pdi13-l03415,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00266,pdi13-w0010
feeds,"Conceal'd in ruins, moss and weeds;",o5152-l26650,And there the fox securely feeds;,o5152-l26640,/iːdz/ | /iːdz/,full,<b>a</b>a<b>a</b>,pers00019,o5152-w0300
breeds,"Conceal'd in ruins, moss and weeds;",o5152-l26650,"And there the pois'nous adder breeds,",o5152-l26645,/iːdz/ | /iːdz/,full,a<b>a</b><b>a</b>,pers00019,o5152-w0300
reeds," Of Juices drawn from magick Weeds,",o5125-l21865, And Pith of certain Indian Reeds. ,o5125-l21870,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0530
steeds," Loose Scarfs to fall athwart thy Weeds,",o4106-l10645," Long Palls, drawn Herses, cover'd Steeds,",o4106-l10650,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0170
deeds," Oh cast them from thee! are weeds, arrant weeds. ",o3794-l15160," Nor animate the soul to Christian deeds,",o3794-l15155,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
meads," At her approach, in sober weeds,",bsb18-l14675," When wandering through the daisied meads,",bsb18-l14680,/iːdz/ | /iːdz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0190
