r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
speak,And guard the duties of the week.,bed98-l20535,And heavenly consolation speak;,bed98-l20525,/iːk/ | /iːk/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0680
squeak," Or grins for hours, or tipples for a week,",pcr18-l12145, Or challenges a well-pinch'd pig to squeak:,pcr18-l12150,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
speak," To hear their lectures ance a week,",bjl92-l10190,Cæsar an' Luath weel can speak;,bjl92-l10170,/iːk/ | /iːk/,full,<b>a</b>aab<b>a</b>b,pers00338,bjl92-w0430
steek," To hear their lectures ance a week,",bjl92-l10190, 'Tis pity e'er their gabs should steek:,bjl92-l10175,/iːk/ | /iːk/,full,a<b>a</b>ab<b>a</b>b,pers00338,bjl92-w0430
keek," To hear their lectures ance a week,",bjl92-l10190," They into human nature keek,",bjl92-l10180,/iːk/ | /iːk/,full,aa<b>a</b>b<b>a</b>b,pers00338,bjl92-w0430
seek, To drop the precious food but once a week. ,pcr18-l06775,"When thousand starving minds such manna seek,",pcr18-l06770,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
speak,"Your levée is but twice a week,",o5156-l13565,"This too does in my favour speak,",o5156-l13560,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00026,o5156-w0510
greek," Teach him to fence and figure twice a week,",o3794-l05740," We give some latin and a smatch of greek,",o3794-l05735,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
greek,"And pedants, who boast they read both all the week:",o5154-l24070,"From criticks who never read Latin or Greek,",o5154-l24065,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00092,o5154-w0370
seek, Cloy'd with a folio-Number once a week;,pcr18-l00980,"Our nicer palates lighter labours seek,",pcr18-l00975,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
speak," And held their courts three times a week,",pik94-l06395,"In former days when birds could speak,",pik94-l06390,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00327,pik94-w0290
seek," Step to this Grave but once a Week,",psw11-l02795,"And you that did your Fortunes seek,",psw11-l02790,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00148,psw11-w0090
seek," The baker has none, got no yeast last week;",bsb18-l01100,"She comes unlook'd for, — wheat-bread is to seek,",bsb18-l01095,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
seek,Full of new projects for almost a week:,o5152-l13020,With thoughts like these the shining courts you seek;,o5152-l13015,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00001,o5152-w0150
ap-leek," To dine at the Ord'nary twice in a Week,",o3364-l04715,'Tis This that provokes Mrs. SHENKIN AP-LEEK,o3364-l04710,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
pique,"'Tis the Widow QUICKLACKIT, whose Husband, last Week,",o3364-l05920," Poor STEPHEN, went suddenly forth in a Pique,",o3364-l05925,/iːk/ | /iːk/,full,<b>a</b><b>a</b>a,pers00205,o3364-w0010
creek,"'Tis the Widow QUICKLACKIT, whose Husband, last Week,",o3364-l05920, And push'd off his Boat for the Stygian Creek:,o3364-l05930,/iːk/ | /iːk/,full,<b>a</b>a<b>a</b>,pers00205,o3364-w0010
squeak,"""By vulgar hands, that once a week",o5154-l30610,"""Old-England pinch you till you squeak;",o5154-l30615,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00141,o5154-w0550
ox-cheek," Luxurious rogues, that revel once a week",o4985-l09120, On the rich feast of visto's and ox-cheek;,o4985-l09125,/iːk/ | /iːk/,full,<b>a</b><b>a</b>,pers00192,o4985-w0140
seek,We trace the actions of the week.,bed98-l20615,Holy improvement may we seek;,bed98-l20605,/iːk/ | /iːk/,full,a<b>b</b>a<b>b</b>,pers00340,bed98-w0690
break, For of late I invite Him — but Four Times a Week. ,pmp18-l19615,"Yet sighing, he says, We must certainly break;",pmp18-l19605,/iːk/ | /eɪk/,half-pararhyme,<b>a</b>a<b>a</b>,pers00314,pmp18-w0650
speak, For of late I invite Him — but Four Times a Week. ,pmp18-l19615, And my cruel Unkindness compells him to speak:,pmp18-l19610,/iːk/ | /iːk/,full,a<b>a</b><b>a</b>,pers00314,pmp18-w0650
seek,"Nine times a week,",cbu86-l02480, Wad kindly seek. ,cbu86-l02490,/iːk/ | /iːk/,full,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0030
