r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sleeps," Then o'er his grave a grateful country weeps,",o5280-l05280," When hears'd in death the woe-worn Genius sleeps,",o5280-l05275,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
keeps,"She, (child of Grief!) at human misery weeps;",o4985-l10500, At every death her dismal vigil keeps. ,o4985-l10505,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
steeps, For his lost child it flows — for me he weeps! ,bhw18-l02250,"Not for himself that tear his bosom steeps,",bhw18-l02245,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
steeps, Libation dire! while groaning nature weeps;,bhw18-l02910," In human blood that hallow'd altar steeps,",bhw18-l02905,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
steeps," Looks on her sire and smiles, then turns and weeps;",bhw18-l05330," LAS CASAS' feet in tears ACILOE steeps,",bhw18-l05325,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
keeps," Thy lovely Wife, thy Parisatis weeps,",o4784-l08450, And in her Grief a solemn Silence keeps. ,o4784-l08455,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00268,o4784-w0170
sleeps," Art droops again, and Science weeps;",o4987-l05920," Since Frederic now for ever sleeps,",o4987-l05915,/iːps/ | /iːps/,full,aa<b>b</b><b>b</b>ccdd,pers00248,o4987-w0210
keeps," Whose mirth insults her, as she stands and weeps;",pcr18-l10665," A mean seraglio there her father keeps,",pcr18-l10660,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
sleeps,"Lo! where this silent marble weeps,",tgaen-l08610,"A friend, a wife, a mother sleeps:",tgaen-l08615,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00039,tgaen-wepmc
sleeps," And, blissful change! no longer weeps. ",o5280-l00930," See murder'd Mary calmly sleeps,",o5280-l00925,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00277,o5280-w0030
sleeps," See Malvina bends, and weeps",o5280-l02845, O'er the turf where Oscar sleeps;,o5280-l02850,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00277,o5280-w0180
keeps," For ever murmurs, and for ever weeps;",o3704-l01035,"The silver Stream her Virgin Coldness keeps,",o3704-l01030,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
sleeps," Here o'er the Martyr-King the Marble weeps,",o3704-l01570," And fast beside him, once-fear'd Edward sleeps:",o3704-l01575,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
sleeps," Nor SOMERSET his Master's Sorrows weeps,",o4784-l13335,"Nor favour'd, nor disgrac'd, there ESSEX sleeps,",o4784-l13330,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00268,o4784-w0400
sleeps," The Muse his honour'd memory weeps,",o3982-l05960, For CATO now with ROSCIUS sleeps! ,o3982-l05965,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00274,o3982-w0020
sleeps,"Far from his Flock Alexis weeps,",oat77-l03850,"Neglects to Feed, and rarely Sleeps;",oat77-l03855,/iːps/ | /iːps/,full,<b>a</b><b>a</b>,pers00344,oat77-w0220
steeps,Where melancholy Friendship bends and weeps.,tgaen-l09980,Victor he stood on Belle Isle's rocky steeps;,tgaen-l09970,/iːps/ | /iːps/,full,a<b>b</b>a<b>b</b>,pers00039,tgaen-wepww
