r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
descent,"Through subterraneous passages they went,",tgaen-l00950,Earth's inmost cells and caves of deep descent.,tgaen-l00955,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00039,tgaen-wtrgl
intent, With some companions to the field he went:,bjl92-l04215," This charming youth, on rural sports intent,",bjl92-l04210,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
prevent,"Pleas'd with their toil, o'er various heights they went,",bjl92-l04230, Nor did the craggy cliffs their speed prevent. ,bjl92-l04235,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
intent," He sow'd the seeds of order where he went,",o3794-l12425," Improv'd thee far beyond his own intent,",o3794-l12430,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
content," On this side Heaven, and it with Justice went",oae86-l02915," Up thither, 'cause here is found no content,",oae86-l02920,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
content,"Thus hand in hand the sisters went,",bed98-l02235,And fill'd their parents with content.,bed98-l02240,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>,pers00340,bed98-w0040
consent, All three into the Parlour went:,pmp18-l13190,"So said, so done: the Gods consent:",pmp18-l13185,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
lent," Or with the Harmony in Chorus went,",o4784-l09475," Whilst all were mov'd, who their Attention lent,",o4784-l09470,/ent/ | /ent/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0230
content," Or with the Harmony in Chorus went,",o4784-l09475," To something less than Joy, yet more than dull Content. ",o4784-l09480,/ent/ | /ɒntent/,half-vowelrhyme,a<b>a</b><b>a</b>,pers00268,o4784-w0230
tent," Disguis'd o'er Hills and Vallies went,",pmp18-l33265," He from his Guards and Mid-night Tent,",pmp18-l33260,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
event," Sought their own village, busied as they went",o3794-l23270, In musings worthy of the great event:,o3794-l23275,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
lent," Exercising, as they went,",o4784-l02405," Each such Power, as Fate had lent;",o4784-l02410,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00268,o4784-w0060
ascent,"Not far the troops of young ALPHONSO went,",bhw18-l03845, When sudden from a rising hill's ascent,bhw18-l03850,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
tent," That round thee shone, when we together went",o4784-l08295," To chear the Royal Captives in their Tent,",o4784-l08300,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00268,o4784-w0170
discontent,Back to the Man the Demon went:,o5354-l00960,"Defeated thus, thus discontent,",o5354-l00955,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
content," Back to their homes the prudent vestry went,",pcr18-l12270," At last, with all their words and work content,",pcr18-l12265,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>a,pers00275,pcr18-w0040
sent," Back to their homes the prudent vestry went,",pcr18-l12270, And Richard Monday to the workhouse sent. ,pcr18-l12275,/ent/ | /ent/,full,a<b>a</b><b>a</b>,pers00275,pcr18-w0040
sent,"Was whisper'd near him, — and abroad he went;",pcr18-l12405,"At length, ""'Tis time he should abroad be sent, '",pcr18-l12400,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
spent," She sadly following in submission went,",pcr18-l13515, And saw the final shilling foully spent;,pcr18-l13520,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
spent, (Poultry in groups still follow'd where she went;),pcr18-l16620," Then dread o'ercame her, — that her days were spent. ",pcr18-l16625,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
intent," Without reflection, Robin Dingley went. ",pcr18-l18325," As on, from place to place, without intent,",pcr18-l18320,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
intent, Then cast his bundle on his back and went,pcr18-l18450," He knew not whither, nor for what intent. ",pcr18-l18455,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
content," The wealthier part, to him and science went;",pcr18-l19100, With luck and her the poor remain'd content. ,pcr18-l19105,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
bent,To greet Alcestes 'mansion joyful went.,bed98-l06090,"Philario's sons, by youthful ardor bent,",bed98-l06085,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00340,bed98-w0150
kent," Disguis'd in tatter'd Habits, went",psw11-l01380, To a small Village down in Kent;,psw11-l01385,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00148,psw11-w0060
intent," In troops, with hasty steps to him they went;",bjl92-l11880, To get their fate presag'd was their intent. ,bjl92-l11885,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0490
content, With them he freely went;,prc90-l01395, The mansion of content. ,prc90-l01410,/ent/ | /ɒntent/,half-vowelrhyme,aa<b>b</b>cc<b>b</b>,pers00328,prc90-w0060
content,"Thus, but unpension'd, th' apostles went",o4154-l00500," On foot, coarse clad, with homely fare content,",o4154-l00505,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>,pers00332,o4154-w0010
sent," And worthless dross, and ever as he went,",pmt18-l15720," Now here, now there, in careless chance she sent,",pmt18-l15730,/ent/ | /ent/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0025
spent," And worthless dross, and ever as he went,",pmt18-l15720, That oft their blunted force in empty air was spent. ,pmt18-l15735,/ent/ | /ent/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0025
th'event," My Husband, fatally uniting, went;",ppo24-l08705," Unus'd to Arms, and thoughtless of th'Event. ",ppo24-l08710,/ent/ | /event/,half-vowelrhyme,<b>a</b><b>a</b>,pers00257,ppo24-w0120
tent," With trembling, but impatient Steps I went,",ppo24-l09845,"The Hour approach'd, as to Neronior's Tent",ppo24-l09840,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
tent,"When Laban heard the tidings, forth he went",pjo50-l10795," To meet, and welcome Jacob to his tent. ",pjo50-l10800,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0430
content," When from Marius Rage he went,",o4784-l03780,"Thus, had Crassus been content,",o4784-l03775,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0080
sent, And in Short time in Person thither went. ,pco62-l05880,"This Letter by his Steward to her he Sent,",pco62-l05875,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00293,pco62-w0090
bent,"Sometimes with steady course she went,",bjb18-l27445," Sometimes with sidelong mast she bent,",bjb18-l27455,/ent/ | /ent/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0650
intent,"They instant to the cottage went,",bed98-l01630,"Equally pleas'd with the intent,",bed98-l01625,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00340,bed98-w0030
content," Discoursing, hither thro' the walks they went,",cer72-l03060," Both pleas'd alike, and equally content. ",cer72-l03065,/ent/ | /ɒntent/,half-vowelrhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
rent, And backward to the royal office went. ,cer72-l09315," With wild despair, their folding vests they rent,",cer72-l09310,/ent/ | /ent/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
