r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
soul," In one short sentence to comprize the whole,",o4986-l18620, Transfuse to his the virtues of thy soul. ,o4986-l18625,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
soul, And AMOR PATRIAE occupied the whole;,o4986-l18805," Each fond affection then forsook his soul,",o4986-l18800,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
soul, Discover'st the Disease and mak'st us whole;,pse03-l03385,"Thou dost disect our weak distemper'd Soul,",pse03-l03380,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00272,pse03-w0100
soul," But I who join'd them, claim the whole. ",o4106-l09720," You claim the Body, you the Soul,",o4106-l09715,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
soul, Which reign'd supreme within the mighty whole. ,o4039-l06335, His infant lips evinc'd a manly soul;,o4039-l06325,/əʊl/ | /əʊl/,full,a<b>b</b>a<b>b</b>,pers00289,o4039-w0220
roll, Bring up a Sample of the Whole. ,pmp18-l31040," And, as thro' these Canals They roll,",pmp18-l31035,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
roll,"To move, support, and guide the whole.",o5153-l23880,"In one great system meant to roll,",o5153-l23875,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00119,o5153-w0360
soul," Examines parts, thence rising to the whole,",pjo50-l03490," Sees the connexion, chain, and spring of soul;",pjo50-l03495,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
soul,Th' industrious workman fails to warm the whole!,o5152-l04075,"Vain care of parts; if, impotent of soul,",o5152-l04070,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00011,o5152-w0050
soul, And solid Wisdom dignify the Whole:,o4741-l12090," Let godlike Bounty crown her gen'rous Soul,",o4741-l12085,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00091,o4741-w0240
soul, And breathes a spirit through the finish'd whole:,o3555-l03200," To life adds motion, and to beauty soul,",o3555-l03195,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
soul, Faint's the cold work till thou inspire the whole;,o4985-l02175," Thou, only thou, canst raise the meeting soul! ",o4985-l02190,/əʊl/ | /əʊl/,full,aa<b>b</b>cc<b>b</b>,pers00048,o4985-w0040
soul, And Vigour crown'd the well-proportion'd Whole:,o4741-l06570," Robust his Limbs, and daring was his Soul,",o4741-l06565,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
soul," Guard Thou thy own; possess it whole,",o3900-l21220,"Now then, my GOD, Thou hast my Soul;",o3900-l21210,/əʊl/ | /əʊl/,full,<b>a</b>b<b>a</b>bcc,pers00310,o3900-w1120
soul," An Energy diffus'd, that actuates the Whole;",pdi22-l03365," Or art in ev'ry Part a Mundane Soul,",pdi22-l03360,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>a,pers00266,pdi22-w0010
know," An Energy diffus'd, that actuates the Whole;",pdi22-l03365, Man strives in vain to know. —,pdi22-l03370,/əʊl/ | /əʊ/,half-vowelrhyme,a<b>a</b><b>a</b>,pers00266,pdi22-w0010
soul, Vainly attempts at once to grasp the whole;,o4986-l27115,"Where to begin? where end? the labouring soul,",o4986-l27105,/əʊl/ | /əʊl/,full,<b>a</b>b<b>a</b>b,pers00196,o4986-w0580
