r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
soar," You'd exclude Marriage, make the World a Whore. ",oae86-l00480, Not only with your Pen; you higher soar;,oae86-l00475,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
more,"Sober advice, and Curl's Dutch whore",o5156-l25130,"I've read, 'till I can read no more.",o5156-l25135,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00083,o5156-w0720
more, But a Young flaring Painted Whore:,pmp18-l35955," Thou art an Aged Priest no more,",pmp18-l35950,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
lore,"The proud, high-born, patrician whore,",o5154-l02250,"More deeply vers'd in Venus' mystic lore,",o5154-l02240,/ɔː/ | /ɔː/,full,aabbccdd<b>e</b>f<b>e</b>f,pers00031,o5154-w0060
door," Some cringing LACQUEY, or rapacious WHORE,",o4111-l00865," To favours of the great the surest door,",o4111-l00870,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
door,"Should raging passions drive thee to a whore,",o4111-l01595, Let PRUDENCE lead thee to a postern door;,o4111-l01600,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
four," And whether to a Bishop, or a Whore? ",o3683-l00615,"Whose Place is quarter'd out, three Parts in four,",o3683-l00610,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
more," At Fig's or White's, with Felons, or a Whore,",o3683-l00995,"And now the British Youth, engaged no more",o3683-l00990,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00012,o3683-w0010
adore,"Your taste in snuff, your judgment in a whore;",o5152-l23695,"Exalt each trifle, ev'ry vice adore,",o5152-l23690,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00029,o5152-w0270
m—r,"And has not C—lly still his Lord, and Whore? ",o3674-l00485,"His Butchers H—ley, his Free-masons M—r? ",o3674-l00490,/ɔː/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3674-w0010
m*," That harmless Mother thought no Wife a Whore, —",o3674-l01870," Hear this! and spare his Family, James M*",o3674-l01875,/ɔː/ | /em/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3674-w0010
more, Than his fine Wife (my Lord) or finer Whore. ,o3689-l00060,Think we all these are for himself? no more,o3689-l00055,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00012,o3689-w0010
over," Bawd, hussy, drunkard, slattern, whore,",ojg27-l06390, She ran the parrot's language o'er;,ojg27-l06385,/ɔː/ | /ɔːə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00303,ojg27-w0260
more," And keep a Bard, just as They keep a Whore. ",o4002-l01960, They patronize for fashion sake — no more —,o4002-l01955,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
wore,Novels (receipts to make a whore),o5152-l14935,Veils were the only masks they wore;,o5152-l14930,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
wore,Or chastity was carted for the whore;,o5154-l38380,"Ere lewdness the stain'd garb of honour wore,",o5154-l38375,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
backdoor," To Conj'rer, as he does to Whore,",o3552-l01045," Thro' some bye Alley, or Back-door,",o3552-l01050,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
more," I, Phyllis but a perjur'd Whore. ",pmp18-l02865, This Cheat of Life would take no more;,pmp18-l02855,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0120
more,Than in the chamber of a whore.,o5156-l29785,"A promise signifies no more,",o5156-l29780,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00108,o5156-w0820
