r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tried," Tho' Sin assail, and Hell thrown wide",o3900-l17950,"Tho' in Affliction's Furnace tried,",o3900-l17940,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
abide,"Her doors to all were open'd wide,",o4103-l21295, The pilgrim there might safe abide:,o4103-l21300,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00254,o4103-w0340
pride," It's branches spreading wide,",pma99-l00500, Provok'd one spark of pride. ,pma99-l00510,/aɪd/ | /aɪd/,full,x<b>a</b>x<b>a</b>,pers00306,pma99-w0030
spied," His shaggy throat he open'd wide,",o4986-l11515,"Him the Dog of darkness spied,",o4986-l11510,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
spied,"His shaggy throat he opened wide,",tgaen-l09080,"Him the dog of darkness spied,",tgaen-l09075,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
preside, In earth and air and ocean wide;,bjb18-l05075,Ye are the spirits who preside,bjb18-l05070,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
tide," Our nets are floating wide,",bjb18-l26510, Rocks lightly on the tide;,bjb18-l26520,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>cdcd,pers00287,bjb18-w0620
aside," While she loud Triumph sings, proclaiming wide",sap09-l02655,Then Colin threw his Fife disgrac'd aside;,sap09-l02650,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
reside, His intellectual parts to make more wide. ,o4039-l06635," Could e'er within his tender mind reside,",o4039-l06625,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>,pers00289,o4039-w0220
guide," And claim a right to scamper and run wide,",o3794-l24690," Wherever chance, caprice, or fancy guide. ",o3794-l24695,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
supplied," Her mouth, from ear to ear, extended wide,",o4110-l02050," With double rows of useless teeth supplied,",o4110-l02045,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
tried,"Would spread politick basis wide,",o5154-l13980,This method (were this method try'd),o5154-l13975,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00091,o5154-w0200
bride,""" Where skulks the villain? ""—— ""On the ocean wide",pcr18-l10550.1,""" My William seeks a portion for his bride.  ""—",pcr18-l10555,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
bride,""" Where skulks the villain? ""—— ""On the ocean wide",pcr18-l10550.2,""" My William seeks a portion for his bride.  ""—",pcr18-l10555,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
side," Preferment's temple stands; the base how wide,",o5089-l04180," How steep the top, how cragged ev'ry side! ",o5089-l04185,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
pride," They, round the ingle, form a circle wide;",cbu86-l10345," The big ha'-Bible, ance his Father's pride:",cbu86-l10355,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00307,cbu86-w0130
aside," They, round the ingle, form a circle wide;",cbu86-l10345," His bonnet rev'rentlv is laid aside,",cbu86-l10360,/aɪd/ | /aɪd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00307,cbu86-w0130
glide," They, round the ingle, form a circle wide;",cbu86-l10345," Those strains that once did sweet in ZION glide,",cbu86-l10370,/aɪd/ | /aɪd/,full,a<b>b</b>abbc<b>b</b>cc,pers00307,cbu86-w0130
pride," When men display to congregations wide,",cbu86-l10575,"Compar'd with this, how poor Religion's pride,",cbu86-l10565,/aɪd/ | /aɪd/,full,<b>a</b>b<b>a</b>bbcbcc,pers00307,cbu86-w0130
supplied," Gay Trophies won, and Fame extending wide:",o3316-l00110, Minerva's Scale with greater weight supply'd. ,o3316-l00120,/aɪd/ | /aɪd/,full,a<b>b</b>a<b>b</b>,pers00294,o3316-w0010
divide," Atropos' scissors open wide,",bsb18-l20055, And seem just ready to divide;,bsb18-l20060,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0260
side,But wherefore need I wander wide,o4985-l01805," To old Ilissus' distant side,",o4985-l01810,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>bccb,pers00048,o4985-w0030
tide, Where knock is open wide. ,psm63-l02310, And far beneath the tide;,psm63-l02295,/aɪd/ | /aɪd/,full,aa<b>b</b>cc<b>b</b>,pers00254,psm63-w0010
