r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
right,Oft have I punish'd that ambitious Wight,pdi12-l01370, Who thus entrenches on the Mer-man's Right:,pdi12-l01375,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
right, To purer air doth speed each crafty wight;,o4985-l27850," Grown grey in the asserting of his right,",o4985-l27860,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
light, To purer air doth speed each crafty wight;,o4985-l27850," With head yfraught with law, and pockets light,",o4985-l27865,/aɪt/ | /aɪt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
delight, To purer air doth speed each crafty wight;,o4985-l27850, And views each rural object with delight. ,o4985-l27875,/aɪt/ | /aɪt/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
hermaphrodite,"Each was bestrode by full as monstrous wight,",o4600-l02005," Giant, Dwarf, Genius, Elf, Hermaphrodite. ",o4600-l02010,/aɪt/ | /æfrədaɪt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
right,"Know, then, fair Cowley's Muse will paint a wight,",o5280-l06775, Who thinks that Learning's always in the right. ,o5280-l06780,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
affright,"Now murm'ring Winds disturb the careful Wight,",pdi22-l00295," Now black'ning Clouds, and gath'ring Storms affright. ",pdi22-l00300,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
night, For als he been a mister Wight,o4106-l03195, Betray'd by wand'ring in the Night,o4106-l03200,/aɪt/ | /aɪt/,full,aab<b>c</b><b>c</b>b,pers00294,o4106-w0070
flight, To Fancy's realm the daring wight,o5280-l03215, On eagle wing pursues his flight;,o5280-l03220,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00277,o5280-w0210
sight," No more that awful glance on playful wight,",pcr18-l18230," Compell'd to kneel and tremble at the sight,",pcr18-l18235,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
write," Who at the call of many a daring wight,",pma99-l09525," Who ne'er before in verse essay'd to write,",pma99-l09530,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00306,pma99-w0510
delight,"""Ev'n Roman Tityrus, that peerless wight,",o5154-l36120,"""Mote yield to thee for dainties of delight.",o5154-l36125,/aɪt/ | /aɪt/,full,abab<b>c</b><b>c</b>,pers00051,o5154-w0670
night," Whilst I, a hope-abandon'd wight,",cbu86-l12315," Meet ev'ry sad-returning night,",cbu86-l12325,/aɪt/ | /aɪt/,full,aabccb<b>d</b>e<b>d</b>exfxf,pers00307,cbu86-w0170
night,"But who can steal from self that wretched wight,",pcr18-l08010," Whose darling work is tried, some fatal night? ",pcr18-l08015,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
bite, That this injurious partial Wight,o4784-l09785,That Shrub was qualify'd to Bite;,o4784-l09775,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>ab,pers00268,o4784-w0240
quite, That this injurious partial Wight,o4784-l09785," Had bid his Gard'ner rid it quite,",o4784-l09790,/aɪt/ | /aɪt/,full,ab<b>a</b><b>a</b>b,pers00268,o4784-w0240
sight, They stop and tempt full many a wistful wight. ,bjb18-l12595," In wicker basket grouped to lure the sight,",bjb18-l12590,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0240
bright," ""Weep not, dear aunt!"" says the parting wight,",bjb18-l15070,"Hope beckons me to fortune bright,",bjb18-l15080,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0270
write,"Nor hold we, like that wrong-concluding wight,",o5154-l07790,A man can't fish — because he cou'd not write.,o5154-l07795,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00124,o5154-w0120
hight," Beneath a spacious Palm, the wicked Wight",o3818-l00325, Where INDOLENCE (for so the Wizard hight),o3818-l00300,/aɪt/ | /aɪt/,full,a<b>b</b>abbc<b>b</b>cc,pers00020,o3818-w0010
bright," Beneath a spacious Palm, the wicked Wight",o3818-l00325," That half shut out the Beams of Phoebus bright,",o3818-l00310,/aɪt/ | /aɪt/,full,aba<b>b</b>bc<b>b</b>cc,pers00020,o3818-w0010
night," Beneath a spacious Palm, the wicked Wight",o3818-l00325, And made a Kind of checker'd Day and Night. ,o3818-l00315,/aɪt/ | /aɪt/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
sight," Certes, he was a most engaging Wight,",o3818-l02790," A joyous Youth, who took you at first Sight;",o3818-l02775,/aɪt/ | /aɪt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00020,o3818-w0010
light," Certes, he was a most engaging Wight,",o3818-l02790, Before the sprightly Tempest tossing light:,o3818-l02785,/aɪt/ | /aɪt/,full,aba<b>b</b><b>b</b>cbcc,pers00020,o3818-w0010
night," Certes, he was a most engaging Wight,",o3818-l02790, Turning the Night to Day and Day to Night;,o3818-l02800,/aɪt/ | /aɪt/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
night," ""The Losel is to him a miserable Wight. ",o3818-l06030,""" At one deep Draught of Sleep he takes the Night;",o3818-l06015,/aɪt/ | /aɪt/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
delight," ""The Losel is to him a miserable Wight. ",o3818-l06030,""" Of the pure nuptial Bed the chaste Delight,",o3818-l06025,/aɪt/ | /aɪt/,full,ababbcb<b>c</b><b>c</b>,pers00020,o3818-w0010
plight,Whiles yet he spake th' affrayed trembling wight,o4985-l15470," Rush'd headlong forth, in well-deserved plight,",o4985-l15480,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bbcbcc,pers00032,o4985-w0240
hight," A reasoning, reading, learned wight;",o3982-l00710,"A friend he had, BELLARIO hight,",o3982-l00705,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
bedight," To thee is but a clumsy wight,",bjb18-l16285,"The featest tumbler, stage bedight,",bjb18-l16280,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0320
night," Not reft of pleasure is the wight,",bjb18-l19410," Who, in snug chaise, at close of night,",bjb18-l19415,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
white," A modest though deceitful wight,",bjb18-l20445, Her misty shroud of pearly white;,bjb18-l20440,/aɪt/ | /aɪt/,rich,<b>a</b><b>a</b>,pers00287,bjb18-w0460
despite,"From Glaston came a lerned wight,",o4984-l15855," Full bent to marr her fell despight,",o4984-l15860,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>bccb,pers00228,o4984-w0240
sight,"Alas! I'm but a nameless wight,",cbu86-l02165, Trode i' the mire out o' sight! ,cbu86-l02170,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0030
fight,"Alas! I'm but a nameless wight,",cbu86-l02165,"But could I like MONTGOMERIES fight,",cbu86-l02175,/aɪt/ | /aɪt/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0030
tight,"Alas! I'm but a nameless wight,",cbu86-l02165," There's some sark-necks I wad draw tight,",cbu86-l02185,/aɪt/ | /aɪt/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0030
