r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
replies,Our senate always held me wise. ,ojg27-l05010,"Why so severe, the Cub replys? ",ojg27-l05005,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0200
despise,"Ye are sae grave, nae doubt ye're wise;",cbu86-l06115, Nae ferly tho' ye do despise,cbu86-l06120,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0080
boys,"Ye are sae grave, nae doubt ye're wise;",cbu86-l06115," The hairum-scairum, ram-stam boys,",cbu86-l06125,/aɪz/ | /ɔɪz/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0080
eyes,"Ye are sae grave, nae doubt ye're wise;",cbu86-l06115, I see ye upward cast your eyes —,cbu86-l06135,/aɪz/ | /aɪz/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0080
lies, And much too prudent to be wise. ,o4103-l21260," With happiness oppress'd he lies,",o4103-l21255,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00254,o4103-w0340
flies,"There sits with countenance erect, and wise,",o5154-l20220,"From hence to WHITE'S our virtuous CATO flies,",o5154-l20215,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>a,pers00112,o5154-w0310
pies,"There sits with countenance erect, and wise,",o5154-l20220,"And talks of games of whist, and pig-tail pies;",o5154-l20225,/aɪz/ | /aɪz/,full,a<b>a</b><b>a</b>,pers00112,o5154-w0310
disguise," Experienc'd kindness makes thee wise,",o4987-l15790,No more in Friendship's thin disguise,o4987-l15780,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>bcc,pers00246,o4987-w0560
advise, Let great Examples teach you to be wise. ,pba35-l14685,"Or, if you scorn to hear what I advise,",pba35-l14680,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00261,pba35-w1150
supplies,Yet graceful in the good and wise.,o5153-l23540,"Beauty and wit and worth supplies,",o5153-l23535,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
despise," To think, and reason, singly wise:",o4602-l00360, Each Learned Fable you despise;,o4602-l00350,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
eyes, Then smile my fair One and be timely wise;,o5125-l20355," The Maid reply'd, and roll'd her scornful Eyes. ",o5125-l20360,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
lies, On her to act what may be just or wise. ,oae86-l01040, And then doth think no obligation lyes,oae86-l01035,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
cries," ""This new-born conscience? whence so lately wise? ",cac95-l07570," ""And whence,"" with burning rage, aloud he cries,",cac95-l07565,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
flies, (The Fate of all the Curious and the Wise),o5125-l03420,"Hope shines a while, but like a Vapour flies,",o5125-l03415,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0120
lies,"Tho' the false Coin proclaim him great and wise,",o5154-l09030,"The tyrant's life shall tell that Coin, it lies.",o5154-l09035,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
prise," In conduct prudent, and in counsel wise;",bjl92-l07760, Her friendship ev'ry virtuous mind must prize. ,bjl92-l07765,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0300
lies,"The passion's blameless, when the judgment's wise.",o5152-l24870,'Tis in false estimates the folly lies;,o5152-l24865,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
sighs,"Tho' each dull plodding thing, to ape the wise,",o5152-l25840,"Ridiculously grave, for leisure sighs,",o5152-l25845,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
prise, Taught us at once to love and to be wise. ,pse03-l03375," Till thy bright Pen markt out the happy Prize,",pse03-l03370,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00272,pse03-w0100
lies," O'er-run by Fools, unreach'd-at by the Wise)",o4784-l09490,"(Between which two Extreams true Pleasure lies,",o4784-l09485,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0230
advise, Be first secure; and then be wise. ,pmp18-l36785,Believe what friendly I advise:,pmp18-l36780,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
supplies," Which make Us either stout, or wise:",pmp18-l37120," From hence She sends out those Supplies,",pmp18-l37115,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
despise," Thy Pride of being great and wise,",pmp18-l38495," I do but mention, to despise. ",pmp18-l38500,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
surprise, We find our selves at Sixty wise;,pmp18-l38620,"Or grant, that with extreme Surprize,",pmp18-l38615,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
advice,"As Brentford Kings discrete and wise,",pmp18-l38685," After long Thought and grave Advice,",pmp18-l38690,/aɪz/ | /aɪs/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
despise,If to be sad is to be wise;,pmp18-l39135, I do most heartily despise,pmp18-l39140,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
eyes," And she may now be as discreet and wise,",o3794-l24750, As once absurd in all discerning eyes. ,o3794-l24755,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
prise,"But, Henry, wert thou in Love's language wise,",bao18-l04965, Beyond their sweetest strains thy heart would prize,bao18-l04975,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0170
lies," First I'll try to make them wise,",o5454-l04040,"When I hear them telling Lies,",o5454-l04030,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>b,pers00292,o5454-w0390
skies,"The goddess of the brave and wise,",o5153-l23950,"She, fairest offspring of the skies,",o5153-l23945,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0360
surprise,"Bright as the youngest, as the oldest wise,",o5156-l37770,"In both extremes, alike he gave surprize.",o5156-l37775,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
eyes,"But sov'reign heav'n, whose ways are ever wise,",o5156-l38280, Just drew the glorious dawn before his eyes;,o5156-l38285,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
lies," They make us humble, and they make us wise. ",ppo24-l07505,"For in Misfortunes this Advantage lies,",ppo24-l07500,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
eyes,"Convinc'd, in Nature's volume wise",o4984-l16485, And sudden from my waking eyes,o4984-l16495,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>b,pers00045,o4984-w0260
eyes," At length more Mad, than Wise. ",o4784-l19045, Did Men ne'er close their Eyes;,o4784-l19035,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>,pers00268,o4784-w0600
