r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bliss," Not worth the long impatient Wish,",o4106-l10115,"But now Experience shews, the Bliss",o4106-l10105,/ɪʃ/ | /ɪs/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00294,o4106-w0160
dish," Is what I want, is what I Wish. —",pmp18-l13400,A Ladle for our Silver Dish,pmp18-l13395,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
fish," With soal — that's just the sort he would not wish,",o3794-l22405,"Serve him with ven'son and he chuses fish,",o3794-l22400,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
fish, Feast-lyche as Heart of Mouse mote wish. ,pmp18-l27650,Their Fill they eat of Fowl and Fish;,pmp18-l27645,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0950
fish," Can speak his Wants, or tell his secret Wish. ",pdi22-l01100,To pensive Silence doom'd no other Fish,pdi22-l01095,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fish," The Ship's good Omen, and the Steersman's Wish,",pdi22-l01715,"Auspicious Friends, the Sailor's darling Fish,",pdi22-l01710,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fish,"Fearful they strowl, and look with panting Wish",pdi22-l02500, For the cast Crust of some new-cover'd Fish;,pdi22-l02505,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
cuttle-fish," From stormy Rage, and Hunger's pining Wish;",pdi22-l07780,Parts aptly form'd preserve the Cuttle-Fish,pdi22-l07775,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fish, In Time to curb your yet unbounded Wish. ,pdi22-l08500,"The Sea's dull Sleeper bids, that shortliv'd Fish,",pdi22-l08495,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fish, Who urg'd by Hunger must supply the Wish;,pdi22-l12250,"Fondly we blame the Rage of warring Fish,",pdi22-l12245,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fish,"With many an ardent wish,",tgaen-l04655,What cat's averse to fish?,tgaen-l04670,/ɪʃ/ | /ɪʃ/,full,aa<b>b</b>cc<b>b</b>,pers00039,tgaen-wodfc
dish,""" Or robe I neither want or wish;",pik94-l06225," ""What pleasure in an added dish,",pik94-l06220,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
bush, 'When Manhood is your wish! ,cbu86-l12540," Like linnets in the bush,",cbu86-l12530,/ɪʃ/ | /ʊʃ/,half-pararhyme,aabccbd<b>e</b>d<b>e</b>xfxf,pers00307,cbu86-w0170
dish, Ev'ry one their sev'ral Wish;,o4784-l04190," Give the Epicure his Dish,",o4784-l04185,/ɪʃ/ | /ɪʃ/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
