r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
repelled,"Yet by Pride, by Shame with-held,",o5247-l03295, Every yielding Thought's repell'd:,o5247-l03300,/eld/ | /eld/,full,<b>a</b><b>a</b>bbcc,pers00295,o5247-w0180
field,"Not heav'nly wisdom, only, is with-held,",o5154-l05280,But the free bounty of the self-sown field:,o5154-l05285,/eld/ | /iːld/,half-pararhyme,<b>a</b><b>a</b>,pers00022,o5154-w0080
scheld,"As soon may whirl-winds be with-held,",o5152-l09120,As MARLB'ROUGH'S footsteps o'er the foaming Scheld.,o5152-l09125,/eld/ | /elt/,half-vowelrhyme,aabb<b>c</b><b>c</b>ddedeffghgiihkkllmml,pers00007,o5152-w0100
sealed,"From her embrace by lawless pow'r with-held,",o5153-l17065,Vows by assenting Edward seal'd.,o5153-l17075,/eld/ | /iːld/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00024,o5153-w0320
field,"Who, thirty rolling years, had oft with-held",o5152-l00085,The Suede and Saxon from the dusty field;,o5152-l00090,/eld/ | /iːld/,half-pararhyme,<b>a</b><b>a</b>,pers00011,o5152-w0010
revealed,"The fountains rose, the streams their course withheld,",cer72-l00105, To hear the ocean's wond'rous source reveal'd. ,cer72-l00110,/eld/ | /iːld/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
concealed," His growing flame, by Menon's worth withheld;",cer72-l03930,"To Babylon return'd, he yet conceal'd",cer72-l03925,/eld/ | /iːld/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
swelled," Crush'd her strong pinions, and her flight witheld;",o3555-l01550," Too long had bigot rage, with malice swell'd,",o3555-l01545,/ɪðeld/ | /eld/,half-pararhyme,<b>a</b><b>a</b>,pers00149,o3555-w0020
yield,"The mother sigh'd, the starting tear withheld,",bsb18-l02125, To her fond partner ever fond to yield;,bsb18-l02130,/eld/ | /iːld/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0010
field," Forward She strives, averse to be with-held",pmp18-l40430," From nobler Objects, and a larger Field. ",pmp18-l40435,/eld/ | /iːld/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
