r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
renewed,Time-honour'd Founders! ye the virgin woo'd! ,o4987-l02935," To bid her radiant beauties shine renew'd,",o4987-l02945,/uːd/ | /uːd/,full,<b>a</b>b<b>a</b>b,pers00057,o4987-w0070
endued," And had she yielding listened as he wooed,",pmt18-l12810,"Yet were his lips with eloquence endued,",pmt18-l12800,/uːd/ | /uːd/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
withstood,So gently urgent her consent they wooed,pmt18-l08045," That yielding Psyche now no more withstood,",pmt18-l08055,/uːd/ | /ʊd/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0022
gratitude,""" With reverence he woo'd;",o3462-l01465,""" Remember gratitude. —",o3462-l01475,/uːd/ | /ætɪtʃuːd/,half-vowelrhyme,a<b>b</b>a<b>b</b>,pers00299,o3462-w0010
pursued,"I Am, cry'd Apollo, when Daphne he woo'd,",o5089-l26925," And panting for breath, the coy virgin pursu'd,",o5089-l26930,/uːd/ | /uːd/,full,<b>a</b><b>a</b>,pers00011,o5089-w0640
pursued," I hate the skittish Fair, that flies when woo'd,",pdi12-l01120," Like fearful Tunnys, when by Sharks persu'd. ",pdi12-l01125,/uːd/ | /uːd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0030
viewed,"When Fortune smil'd, when Pleasure woo'd,",o4986-l09540,Life's transitory stream I view'd,o4986-l09550,/uːd/ | /uːd/,full,<b>a</b>b<b>a</b>b,pers00216,o4986-w0220
rude, By many a royal youth had oft been wooed;,pmt18-l00595," Without attendant through the forest rude,",pmt18-l00585,/uːd/ | /uːd/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0020
pursued, And with redoubl'd ardour woo'd,bjl92-l01265,With eager steps he swift pursu'd,bjl92-l01255,/uːd/ | /uːd/,full,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0060
pursued," For she is gone, and will no more be woo'd. ",pdi12-l01975,"In vain he has the fruitless Search pursu'd,",pdi12-l01970,/uːd/ | /uːd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0060
blood,"Ye heavens! if to this tender bosom woo'd,",o4984-l01275, Thy mere idea harrows up my blood;,o4984-l01280,/uːd/ | /ʌd/,half-pararhyme,<b>a</b><b>a</b>,pers00211,o4984-w0010
mood, By lone and wakeful traveller woo'd! ,bjb18-l20395," When in her wild fantastic mood,",bjb18-l20390,/uːd/ | /uːd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
