r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
forth, A little maid of matchless worth:,o4103-l21430, The bride in nine moons brought him forth,o4103-l21425,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00254,o4103-w0340
birth," Thee, first in ev'ry virtue, ev'ry worth,",yfs88-l02315, That gives to glory or to genius birth;,yfs88-l02320,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
forth,"A monster of such complicated worth,",o5154-l20095,As no one single clime could e'er bring forth:,o5154-l20100,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00112,o5154-w0310
forth," Prepar'd to fight for shadows of no worth,",o3794-l10565," Then ceremony leads her bigots forth,",o3794-l10560,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
forth,"Reality's more solid worth,",bed98-l02245,Appearance studied to set forth.,bed98-l02250,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0040
forth,"But conscious of her native worth,",bed98-l02345,Without Appearance ventur'd forth.,bed98-l02350,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0040
forth,"Guided their ardour, and insur'd their worth.",o5154-l08625,"She call'd the latent beams of Nature forth,",o5154-l08620,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00042,o5154-w0140
forth,"And seiz'd their ears with tales of ancient worth,",o5157-l01870,"And pour'd spontaneous numbers forth,",o5157-l01865,/ɜːθ/ | /ɔːθ/,half-pararhyme,aabbccd<b>e</b><b>e</b>d,pers00047,o5157-w0020
forth," Compress the sum into its solid worth,",o3794-l20825,"Collect at evening what the day brought forth,",o3794-l20820,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
forth," With God's deep stamp upon its current worth,",o3794-l24275, When all his glowing language issued forth,o3794-l24270,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
forth,The ore asserts its native worth;,o5153-l24050,"But when from proof, far issuing forth,",o5153-l24045,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00119,o5153-w0360
forth,"And education marks the native worth,",bed98-l16310,"And boldly calls the leading feature forth,",bed98-l16315,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0440
birth," Where prosperous Folly treads on patient Worth,",n22cs-l02015," Making them rue the hour that gave them birth,",n22cs-l02005,/ɜːθ/ | /ɜːθ/,full,ababcdcd<b>e</b>f<b>e</b>fgg,pers00290,n22cs-w0270
forth," To meet the call, and vindicate its worth:",pjo50-l03615,"When fair occasion calls their vigour forth,",pjo50-l03610,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0040
forth," Unknown his person, not unknown his worth;",o4600-l00490,"WHEN, from amidst the throng a youth stood forth,",o4600-l00485,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
birth,"For how can critics rightly fix their worth,",o4600-l02605, Unless they know the minute of their birth? ,o4600-l02610,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
forth," Humour's chaste sallies, Judgment's solid worth;",o4600-l02640," But when perfections of the mind break forth,",o4600-l02635,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
earth,"His soul sincere, his gen'rous worth,",bhw18-l12290," And when I ask'd for bliss on earth,",bhw18-l12300,/ɜːθ/ | /ɜːθ/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0130
forth,"For scenes of polish'd life, and letter'd worth;",o5157-l05545,"To darken theirs, or call his merits forth,",o5157-l05555,/ɜːθ/ | /ɔːθ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00038,o5157-w0073
forth,"But I was formed to prize superior worth,",bao18-l02625, I hoped a choice so glorious might call forth,bao18-l02635,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00279,bao18-w0060
earth," May I be scorn'd by ev'ry man of worth,",o3585-l01445," Wander, like Cain, a vagabond on earth,",o3585-l01450,/ɜːθ/ | /ɜːθ/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
forth,"Degen'rate meanness, or transmitted worth:",o5156-l11995,'Tis Time's maturing bus'ness to call forth,o5156-l11990,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00028,o5156-w0460
forth,"Tho' small in size, of countless worth,",bed98-l07175,"And thus the hermit well set forth,",bed98-l07185,/ɜːθ/ | /ɔːθ/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0160
mirth, A joy of more intrinsic worth,peh89-l09825,"Rejoice ye jovial sons of mirth,",peh89-l09815,/ɜːθ/ | /ɜːθ/,full,<b>a</b>b<b>a</b>b,pers00324,peh89-w0250
forth,To unassuming worth.,bed98-l19015,And call'd its vigour forth;,bed98-l19005,/ɜːθ/ | /ɔːθ/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00340,bed98-w0560
birth," A spirit conscious of superior worth,",n22cs-l04305, Scorns the vain cares that give Contention birth;,n22cs-l04315,/ɜːθ/ | /ɜːθ/,full,abbaababc<b>d</b>c<b>d</b>cd,pers00290,n22cs-w0590
