r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
light,"If these can read, to these I write,",ojg27-l04895, To set their worth in truest light. ,ojg27-l04900,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0200
endite,"SUre of Success, to You I boldly write,",o4784-l23250, Whilst Love do's ev'ry tender Line endite;,o4784-l23255,/aɪt/ | /endaɪt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0800
white, A courteous friend hath bid me write,bjb18-l20540, Upon her Album's pages white. ,bjb18-l20545,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0470
white,"Sometimes she'd Read, and sometimes Write,",oau90-l05625,"Her little Hands no Snow so white,",oau90-l05630,/aɪt/ | /aɪt/,full,aab<b>c</b><b>c</b>b,pers00350,oau90-w0140
spite," Of all that grave apologists may write,",o3794-l11900,"A blot that will be still a blot, in spite",o3794-l11895,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
night,"I do my best to act, as he to write;",oau90-l09580,"The Poets Cause and mine are one to night,",oau90-l09575,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>a,pers00350,oau90-w0310
slight,"I do my best to act, as he to write;",oau90-l09580,"If after this you our Endeavours slight,",oau90-l09585,/aɪt/ | /aɪt/,full,a<b>a</b><b>a</b>,pers00350,oau90-w0310
fright, Who knows — is known so well to speak and write! ,o4986-l32750,"Think ye, we were not in a grievous fright,",o4986-l32740,/aɪt/ | /aɪt/,full,<b>a</b>a<b>a</b>,pers00098,o4986-w0850
sight, Who knows — is known so well to speak and write! ,o4986-l32750," To have our noble Patron in our sight,",o4986-l32745,/aɪt/ | /aɪt/,full,a<b>a</b><b>a</b>,pers00098,o4986-w0850
flight, While pleas'd Thalia deigns to write,pmp18-l32005, The Slips and Bounds of Alma's Flight. ,pmp18-l32010,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
delight, Others prefer what Moderns write:,pmp18-l33355,For some in Antient Books delight:,pmp18-l33350,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
indite,My painful task shall be to write,o5155-l27505,"Th' eternal dirge which they indite,",o5155-l27510,/aɪt/ | /aɪt/,full,aab<b>c</b><b>c</b>b,pers00027,o5155-w0480
spite,'That none since Durfey knew to write? ,o5125-l16460," 'Protesting with a Critick's Spite,",o5125-l16455,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00154,o5125-w0430
quite,"But now, whatever poets write,",o5154-l15000,"'Tis sure the case is alter'd quite,",o5154-l15005,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
night," Still would I keep my course, still speak, still write,",o3585-l01865, Till Death had plung'd me in the shades of Night. ,o3585-l01870,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
delight,"The curious piece, and wish like you to write!",o5154-l17185,How oft do I admire with fond delight,o5154-l17180,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00112,o5154-w0290
polite,"How you talk, says Miss Belle, how should such a girl write",peh89-l05510," A novel, or any thing else that's polite? ",peh89-l05515,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00324,peh89-w0030
recite,"THESE, the last lines my trembling hands can write,",o4987-l31920," These words, the last my dying lips recite,",o4987-l31925,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00224,o4987-w0880
quite," Than all you say, or all I write;",o4103-l20220, Then hush — and be an angel quite. ,o4103-l20230,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>,pers00254,o4103-w0250
delight,""" Was all in books; to read them or to write:",pcr18-l20085," ""Then came the Author-Rector: his delight",pcr18-l20080,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
delight,But that women alone for the future shall write;,o5156-l18295,"And who can resist, when they doubly delight?",o5156-l18300,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00027,o5156-w0600
plight,Of evil star! it irks me whilst I write!,o5152-l30615,"Oft, as he told of deadly dolorous plight,",o5152-l30625,/aɪt/ | /aɪt/,full,a<b>b</b>a<b>b</b>bcbcc,pers00035,o5152-w0320
indite,Of evil star! it irks me whilst I write!,o5152-l30615,"Sigh'd as he sung, and did in tears indite.",o5152-l30630,/aɪt/ | /aɪt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00035,o5152-w0320
delight,Of evil star! it irks me whilst I write!,o5152-l30615,"To loose the brogues, the stripling's late delight!",o5152-l30640,/aɪt/ | /aɪt/,full,a<b>b</b>abbc<b>b</b>cc,pers00035,o5152-w0320
indite,"Who, if he can but neatly write,",clc03-l14680,"And moving Billets Doux indite,",clc03-l14685,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00349,clc03-w0300
indite,"Who's, if he can a Warrant write,",clc03-l14720,"Or but a Mittimus indite,",clc03-l14725,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00349,clc03-w0300
spite, Or disappointment goads you thus to write —,o5089-l03045,"GOOD friend, forbear — the world will say 'tis spite,",o5089-l03040,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
wight," Who ne'er before in verse essay'd to write,",pma99-l09530," Who at the call of many a daring wight,",pma99-l09525,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00306,pma99-w0510
might, (Even while he read what lowliest Muse could write),pmt18-l16940, The flattering smile which prompt indulgence might,pmt18-l16935,/aɪt/ | /aɪt/,full,abbac<b>d</b><b>d</b>ceffegg,pers00320,pmt18-w0030
