r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
store," By thee inspir'd, a Grecian dame of yore,",o4986-l04230," With tenderest arrow from thy sacred store,",o4986-l04235,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00231,o4986-w0090
lore,"Whether BLADUD, king of yore,",o5156-l24420,"Skill'd in philosophic lore,",o5156-l24425,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
more,Or praise at most (for wreaths of yore,o5156-l05510,Ne'er signify a farthing more:),o5156-l05515,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00035,o5156-w0170
oar,"Thou wast the veriest slave in days of yore,",o3794-l12615, That ever dragg'd a chain or tugg'd an oar;,o3794-l12620,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
more,"Heroes themselves, in days of yore,",o4984-l03665," Bold as they were, atchiev'd no more. ",o4984-l03670,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
bore, For mighty wonders fam'd in days of yore;,o4600-l00840," Sat SHAKESPEAR. — In one hand a wand he bore,",o4600-l00835,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
more,"Clad, as your nymphs were always clad of yore,",o4110-l00075, In rustic weeds — a cook-maid now no more —,o4110-l00080,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
moor,That dash'd thy infants 'gainst the stones of yore.,o5155-l22670,"Less fierce the Saracen, and quiver'd Moor,",o5155-l22665,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00049,o5155-w0350
more,Where Eden stood of yore;,o5155-l29005,"Some say, it is no more.",o5155-l29015,/ɔː/ | /ɔː/,full,a<b>b</b>a<b>b</b>,pers00025,o5155-w0530
tower, There many a hoary devotee of yore,o4986-l27315,"But can we then that ruined, reverend tower,",o4986-l27305,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00196,o4986-w0580
poor,What? Durst the blind philosopher of yore,o5089-l03850," Chuse thy half-sister Virtue, vile and poor,",o5089-l03855,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
