r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
truth,"Watch o'er my Son, inform his waxen youth,",o4986-l18600, And mould his mind to virtue and to truth;,o4986-l18605,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
truth, And deathless fame acquir'd in bloom of youth;,o5089-l25715," Unerring prudence, strict regard to truth;",o5089-l25710,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00184,o5089-w0570
truth, Surveys thee blooming in the pride of youth;,pik94-l03970, And fancy wandering (how remote from truth),pik94-l03965,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00327,pik94-w0180
truth," ""No!"" cried the awe-struck, wretched youth;",o4091-l25520,""" Let my last look behold her Truth. ",o4091-l25530,/uːθ/ | /uːθ/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
truth,"Here 'tis the soul feels sudden youth,",o5152-l18700,"And meets exulting, virgin Truth;",o5152-l18705,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
truth,O 'Tis a lovely Thing for Youth,o5454-l01725," To fear a Lie, to speak the Truth,",o5454-l01735,/uːθ/ | /uːθ/,full,<b>a</b>b<b>a</b>b,pers00292,o5454-w0150
truth, His cheeks impurpled with the rose of youth;,o4985-l27445," They thought they listen'd to the words of truth,",o4985-l27455,/uːθ/ | /uːθ/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
ruth, His cheeks impurpled with the rose of youth;,o4985-l27445, Yet their belief did work them muchel ruth. ,o4985-l27460,/uːθ/ | /uːθ/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
tooth, His cheeks impurpled with the rose of youth;,o4985-l27445, His tongue was poisonous as an aspic's tooth. ,o4985-l27470,/uːθ/ | /uːθ/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
sooth," And cheer the lonely, wand'ring, helpless youth. ",bjl92-l04515, Then with assiduous care they kindly soothe,bjl92-l04510,/uːθ/ | /uːð/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0150
truth,"Nor learn'd his ripen'd age, nor knew his youth;",o5154-l10375,"Honour, or morals, gratitude, or truth,",o5154-l10370,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
truth,Were unremitted from thy early youth;,bed98-l19765,"If pure Devotion, and if steady Truth,",bed98-l19760,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00340,bed98-w0620
truth," Wrapp'd up in reveries of my lovely youth,",bsb18-l13325," Whose heart's all softness, emblem fair of Truth;",bsb18-l13330,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0180
truth,"Protect my unexperienc'd youth,",pro75-l05565,"Inspire my heart with love and truth,",pro75-l05575,/uːθ/ | /uːθ/,full,<b>a</b>b<b>a</b>b,pers00271,pro75-w0280
truth," Averted eyes scarce see the silent youth,",pcc86-l03640, And want of spirit deems his modest truth. ,pcc86-l03645,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00323,pcc86-w0290
truth," The constant guide of their unerring youth,",pik94-l03135," Where true religion, unaffected truth,",pik94-l03130,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00327,pik94-w0120
truth, To cheat credulity and artless youth;,yfs88-l00890," She wore the spotless robe of heav'nly truth,",yfs88-l00885,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
truth, At length some guardian care removes the youth,o5280-l04770," To those blest scenes of wisdom, and of truth,",o5280-l04775,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
truth," He gazes round. Genius adores the youth,",o5280-l04850, And leads him smiling to the shrine of Truth. ,o5280-l04855,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
truth,"Amid the joyful gaiety of youth,",o3913-l00130," Trod all the paths of piety and truth,",o3913-l00140,/uːθ/ | /uːθ/,full,<b>a</b>b<b>a</b>b,pers00304,o3913-w0010
truth," The lovely perjur'd Youth,",pse03-l04540, Has now lost all his Truth. ,pse03-l04550,/uːθ/ | /uːθ/,full,a<b>b</b>a<b>b</b>cdcd,pers00272,pse03-w0190
mouth,Ingenuous youth:,o5157-l02780,"But, sought from cowards and the lying mouth,",o5157-l02785,/uːθ/ | /aʊθ/,half-pararhyme,ababcdcdee<b>f</b><b>f</b>ghghikki,pers00047,o5157-w0020
truth,"O Abelard, ill-fated Youth,",pmp18-l34800, Thy Tale will justify this Truth:,pmp18-l34805,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
truth," Else, may be, some odd-thinking Youth,",pmp18-l36340," Less Friend to Doctrine than to Truth,",pmp18-l36345,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
truth, Ye worms that eat into the bud of youth! ,o3794-l20925,"Oh come not ye near innocence and truth,",o3794-l20920,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
truth," Vig'rous in age as in the flush of youth,",o3794-l23730," 'Tis always active on the side of truth,",o3794-l23735,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
truth," That fire abated which impells rash youth,",o3794-l23930," Proud of his speed to overshoot the truth,",o3794-l23935,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
truth," I sail, unshipwreck'd, thro' the Storm of Youth:",pba35-l15015,"By her conducted to the Light of Truth,",pba35-l15010,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00264,pba35-w1160
truth,"Or WILL, that noble, generous youth,",o5154-l28840,"Should err from wisdom, taste, and truth;",o5154-l28845,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00098,o5154-w0540
smooth,"Those native ornaments of youth,",o5153-l36820,"The rosy cheek, the forehead smooth,",o5153-l36815,/uːθ/ | /uːð/,half-vowelrhyme,<b>a</b><b>a</b>bccb,pers00123,o5153-w0750
truth,And find the father in the pregnant youth.,o5156-l38305,"GEORGE shall in him prove honour, courage, truth,",o5156-l38300,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
truth," To me restore the favour'd youth,",o5280-l02675," Who, kneeling, vow'd eternal truth;",o5280-l02680,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00277,o5280-w0160
growth," In all that health and energy of youth,",pjo50-l03230, Which promis'd honours of maturer growth;,pjo50-l03235,/uːθ/ | /əʊθ/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0040
truth,"Descend, and animate the British youth:",pjo50-l03565,"Come, fair example of heroic truth! ",pjo50-l03560,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0040
truth,Each charm of sense and youth;,o5156-l33235,Nor wonder at my truth.,o5156-l33245,/uːθ/ | /uːθ/,full,a<b>b</b>a<b>b</b>,pers00108,o5156-w0910
truth," ELIHU, with the decent warmth of youth,",o4600-l00705," Boldly stood forth, the advocate of Truth;",o4600-l00710,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
mouth," ""Yet in revolving years some liberal youth",o4984-l08525," ""Tho' blatant Obloquy with leprous mouth",o4984-l08515,/uːθ/ | /aʊθ/,half-pararhyme,abab<b>c</b>d<b>c</b>dee,pers00050,o4984-w0090
truth,This night our laughing Muse will paint a youth,o5280-l06865, At constant war with Heaven-descended Truth. ,o5280-l06870,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
truth,"Through boyish days, a giddy youth,",bah18-l02145," Have mark'd thy honour, virtue, truth,",bah18-l02155,/uːθ/ | /uːθ/,full,<b>a</b>b<b>a</b>b,pers00281,bah18-w0110
truth," Time, tho' he steals the roseate bloom of youth,",o4987-l21540," Shall spare the charms of virtue and of truth,",o4987-l21545,/uːθ/ | /uːθ/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
truth,"Was it thy fault, dear, much-lamented youth",bmb97-l01210,"She saw thee form'd of tenderness and truth,",bmb97-l01220,/uːθ/ | /uːθ/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0020
truth,Thus wretched Anselm rav'd: unhappy youth! ,bmb97-l01410," Thy infant soul ador'd the God of Truth,",bmb97-l01420,/uːθ/ | /uːθ/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0020
